Indicator,Disaggregation combinations using this value
#1-1-1,10
#1-2-1,30
#1-2-1-1a,38
#1-2-2,16
#1-3-1,10
#1-3-1-1c,3
#1-3-1-1e,3
#1-3-1-1f,2
#1-3-1-1g,3
#1-a-2,3
#1-b-1-1,10
#10-1-1,1
#10-2-1,14
#10-4-1,1
#10-5-1-1,3
#11-2-1,19
#11-5-2,10
#15-1-1-1,8
#15-2-1,2
#15-4-1,1
#16-1-4,1
#16-1-4-1a,10
#16-2-1,16
#16-3-1,3
#16-9-1,6
#16-b-1,32
#16-b-1-1,33
#17-1-2,1
#17-4-1,1
#2-1-1,12
#2-1-1-1e,10
#2-2-1,31
#2-2-2,20
#2-c-1-1b,10
#3-1-2,10
#3-7-1,31
#3-b-1,30
#4-2-1,21
#4-2-2,1
#4-2-2-1a,26
#4-3-1-1a,9
#4-4-1,18
#4-c-1-1,3
#5-3-1,40
#5-4-1,3
#5-5-1,1
#5-5-2,1
#5-6-1-1,12
#5-b-1,20
#6-1-1,12
#6-1-1-2b,2
#6-2-1,22
#6-3-1,1
#6-4-1-2,10
#7-1-1,19
#7-1-2,13
#7-b-1-1a,1
#8-1-1,1
#8-10-2,19
#8-2-1,1
#8-3-1-2,2
#8-5-2,37
#8-6-1,3
#8-7-1,6
#8-8-1,56
#8-9-1-1,1
#9-2-1,1
#9-2-2,12
#9-3-1,1
#9-5-1,1
#9-c-1,3
