Year,Series,REF_AREA,URBANISATION,OBS_STATUS,COMMENT_OBS,Units,COMMENT_TS,Value
2010,_L_KG_010101_1A,KG,_T,A,,PT,,5.3
2011,_L_KG_010101_1A,KG,_T,A,,PT,,4.5
2012,_L_KG_010101_1A,KG,_T,A,,PT,,4.4
2013,_L_KG_010101_1A,KG,_T,A,,PT,,2.8
2014,_L_KG_010101_1A,KG,_T,A,,PT,,1.2
2015,_L_KG_010101_1A,KG,_T,A,,PT,,1.2
2016,_L_KG_010101_1A,KG,_T,A,,PT,,0.8
2017,_L_KG_010101_1A,KG,_T,A,,PT,,0.8
2018,_L_KG_010101_1A,KG,_T,A,,PT,,0.6
2010,_L_KG_010101_1A,KG,U,A,,PT,,4.2
2011,_L_KG_010101_1A,KG,U,A,,PT,,2.6
2012,_L_KG_010101_1A,KG,U,A,,PT,,4.2
2013,_L_KG_010101_1A,KG,U,A,,PT,,1.6
2014,_L_KG_010101_1A,KG,U,A,,PT,,1.3
2015,_L_KG_010101_1A,KG,U,A,,PT,,1.0
2016,_L_KG_010101_1A,KG,U,A,,PT,,0.3
2017,_L_KG_010101_1A,KG,U,A,,PT,,0.3
2018,_L_KG_010101_1A,KG,U,A,,PT,,0.2
2010,_L_KG_010101_1A,KG,R,A,,PT,,6.0
2011,_L_KG_010101_1A,KG,R,A,,PT,,5.7
2012,_L_KG_010101_1A,KG,R,A,,PT,,4.5
2013,_L_KG_010101_1A,KG,R,A,,PT,,3.3
2014,_L_KG_010101_1A,KG,R,A,,PT,,1.1
2015,_L_KG_010101_1A,KG,R,A,,PT,,1.4
2016,_L_KG_010101_1A,KG,R,A,,PT,,1.1
2017,_L_KG_010101_1A,KG,R,A,,PT,,1.0
2018,_L_KG_010101_1A,KG,R,A,,PT,,0.7
2010,_L_KG_010101_1A,KG05,_T,A,,PT,,5.2
2011,_L_KG_010101_1A,KG05,_T,A,,PT,,3.6
2012,_L_KG_010101_1A,KG05,_T,A,,PT,,2.4
2013,_L_KG_010101_1A,KG05,_T,A,,PT,,8.0
2014,_L_KG_010101_1A,KG05,_T,A,,PT,,2.6
2015,_L_KG_010101_1A,KG05,_T,A,,PT,,4.0
2016,_L_KG_010101_1A,KG05,_T,A,,PT,,0.3
2017,_L_KG_010101_1A,KG05,_T,A,,PT,,3.4
2018,_L_KG_010101_1A,KG05,_T,A,,PT,,0.9
2010,_L_KG_010101_1A,KG03,_T,A,,PT,,6.4
2011,_L_KG_010101_1A,KG03,_T,A,,PT,,6.7
2012,_L_KG_010101_1A,KG03,_T,A,,PT,,14.1
2013,_L_KG_010101_1A,KG03,_T,A,,PT,,1.4
2014,_L_KG_010101_1A,KG03,_T,A,,PT,,1.1
2015,_L_KG_010101_1A,KG03,_T,A,,PT,,0.5
2016,_L_KG_010101_1A,KG03,_T,A,,PT,,0.1
2017,_L_KG_010101_1A,KG03,_T,A,,PT,,0.0
2018,_L_KG_010101_1A,KG03,_T,A,,PT,,1.0
2010,_L_KG_010101_1A,KG02,_T,A,,PT,,2.5
2011,_L_KG_010101_1A,KG02,_T,A,,PT,,1.5
2012,_L_KG_010101_1A,KG02,_T,A,,PT,,0.1
2013,_L_KG_010101_1A,KG02,_T,A,,PT,,1.9
2014,_L_KG_010101_1A,KG02,_T,A,,PT,,0.0
2015,_L_KG_010101_1A,KG02,_T,A,,PT,,0.4
2016,_L_KG_010101_1A,KG02,_T,A,,PT,,0.0
2017,_L_KG_010101_1A,KG02,_T,A,,PT,,1.0
2018,_L_KG_010101_1A,KG02,_T,A,,PT,,0.9
2010,_L_KG_010101_1A,KG04,_T,A,,PT,,12.0
2011,_L_KG_010101_1A,KG04,_T,A,,PT,,14.7
2012,_L_KG_010101_1A,KG04,_T,A,,PT,,2.5
2013,_L_KG_010101_1A,KG04,_T,A,,PT,,4.9
2014,_L_KG_010101_1A,KG04,_T,A,,PT,,1.8
2015,_L_KG_010101_1A,KG04,_T,A,,PT,,2.1
2016,_L_KG_010101_1A,KG04,_T,A,,PT,,2.6
2017,_L_KG_010101_1A,KG04,_T,A,,PT,,2.0
2018,_L_KG_010101_1A,KG04,_T,A,,PT,,2.2
2010,_L_KG_010101_1A,KG06,_T,A,including Osh city,PT,until 2013 y. including Osh city,8.3
2011,_L_KG_010101_1A,KG06,_T,A,including Osh city,PT,until 2013 y. including Osh city,3.7
2012,_L_KG_010101_1A,KG06,_T,A,including Osh city,PT,until 2013 y. including Osh city,2.3
2013,_L_KG_010101_1A,KG06,_T,A,including Osh city,PT,until 2013 y. including Osh city,4.0
2014,_L_KG_010101_1A,KG06,_T,A,,PT,until 2013 y. including Osh city,0.4
2015,_L_KG_010101_1A,KG06,_T,A,,PT,until 2013 y. including Osh city,1.2
2016,_L_KG_010101_1A,KG06,_T,A,,PT,until 2013 y. including Osh city,0.8
2017,_L_KG_010101_1A,KG06,_T,A,,PT,until 2013 y. including Osh city,0.0
2018,_L_KG_010101_1A,KG06,_T,A,,PT,until 2013 y. including Osh city,0.0
2010,_L_KG_010101_1A,KG07,_T,A,,PT,,5.0
2011,_L_KG_010101_1A,KG07,_T,A,,PT,,8.4
2012,_L_KG_010101_1A,KG07,_T,A,,PT,,0.9
2013,_L_KG_010101_1A,KG07,_T,A,,PT,,0.0
2014,_L_KG_010101_1A,KG07,_T,A,,PT,,0.0
2015,_L_KG_010101_1A,KG07,_T,A,,PT,,0.0
2016,_L_KG_010101_1A,KG07,_T,A,,PT,,0.0
2017,_L_KG_010101_1A,KG07,_T,A,,PT,,0.0
2018,_L_KG_010101_1A,KG07,_T,A,,PT,,0.0
2010,_L_KG_010101_1A,KG08,_T,A,,PT,,3.5
2011,_L_KG_010101_1A,KG08,_T,A,,PT,,4.9
2012,_L_KG_010101_1A,KG08,_T,A,,PT,,3.9
2013,_L_KG_010101_1A,KG08,_T,A,,PT,,2.1
2014,_L_KG_010101_1A,KG08,_T,A,,PT,,3.2
2015,_L_KG_010101_1A,KG08,_T,A,,PT,,1.7
2016,_L_KG_010101_1A,KG08,_T,A,,PT,,3.1
2017,_L_KG_010101_1A,KG08,_T,A,,PT,,1.7
2018,_L_KG_010101_1A,KG08,_T,A,,PT,,0.3
