Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Sex,Age,Degree of urbanisation,Economic activity,Units,Value
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,,PT,23.0
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,,PT,18.3
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,,PT,18.0
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,,,,PT,15.5
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,Male,,,,PT,24.6
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,Male,,,,PT,19.7
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,Male,,,,PT,20.0
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,Male,,,,PT,16.6
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,Female,,,,PT,20.6
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,Female,,,,PT,16.0
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,Female,,,,PT,14.8
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,Female,,,,PT,13.6
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,15 to 19 years old,,,PT,23.7
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,15 to 19 years old,,,PT,19.0
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,15 to 19 years old,,,PT,14.7
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,15 to 19 years old,,,PT,12.6
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,20 to 24 years old,,,PT,19.9
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,20 to 24 years old,,,PT,18.0
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,20 to 24 years old,,,PT,13.9
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,20 to 24 years old,,,PT,10.7
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,25 to 29 years old,,,PT,20.9
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,25 to 29 years old,,,PT,17.5
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,25 to 29 years old,,,PT,18.5
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010201_1A,,,25 to 29 years old,,,PT,15.8
