Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2007,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F2,,PT,114961.0
2008,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F2,,PT,120274.0
2009,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F2,,PT,124751.0
2010,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F2,,PT,133398.0
2011,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F2,,PT,142897.0
2012,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F2,,PT,150206.0
2013,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F2,,PT,162967.0
2014,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F2,,PT,168679.0
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F2,,PT,174693.0
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F2,,PT,178944.0
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F2,,PT,183330.0
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F2,,PT,187313.0
2007,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F1,,PT,2.190749
2008,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F1,,PT,2.273953
2009,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F1,,PT,2.326232
2010,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F1,,PT,2.46199
2011,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F1,,PT,2.608742
2012,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F1,,PT,2.705494
2013,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F1,,PT,2.821172
2014,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F1,,PT,2.861361
2015,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F1,,PT,2.902128
2016,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F1,,PT,2.914302
2017,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F1,,PT,2.930125
2018,Normal value,Units,Country Data,Annual,National,_L_KG_010301_1F1,,PT,2.931575
