Year,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2007,Annual,National,_L_KG_010301_1G1,,PT,313220.0
2008,Annual,National,_L_KG_010301_1G1,,PT,349682.0
2009,Annual,National,_L_KG_010301_1G1,,PT,274008.0
2010,Annual,National,_L_KG_010301_1G1,,PT,282009.0
2011,Annual,National,_L_KG_010301_1G1,,PT,136292.0
2012,Annual,National,_L_KG_010301_1G1,,PT,77413.0
2013,Annual,National,_L_KG_010301_1G1,,PT,180254.0
2014,Annual,National,_L_KG_010301_1G1,,PT,152940.0
2015,Annual,National,_L_KG_010301_1G1,,PT,132336.0
2016,Annual,National,_L_KG_010301_1G1,,PT,142943.0
2017,Annual,National,_L_KG_010301_1G1,,PT,135927.0
2018,Annual,National,_L_KG_010301_1G1,,PT,138265.0
2007,Annual,National,_L_KG_010301_1G2,,PT,5.968864
2008,Annual,National,_L_KG_010301_1G2,,PT,6.611241000000001
2009,Annual,National,_L_KG_010301_1G2,,PT,5.109426999999999
2010,Annual,National,_L_KG_010301_1G2,,PT,5.204752
2011,Annual,National,_L_KG_010301_1G2,,PT,2.488161
2012,Annual,National,_L_KG_010301_1G2,,PT,1.394354
2013,Annual,National,_L_KG_010301_1G2,,PT,3.1204330000000002
2014,Annual,National,_L_KG_010301_1G2,,PT,2.594375
2015,Annual,National,_L_KG_010301_1G2,,PT,2.1984619999999997
2016,Annual,National,_L_KG_010301_1G2,,PT,2.327986
2017,Annual,National,_L_KG_010301_1G2,,PT,2.1724930000000002
2018,Annual,National,_L_KG_010301_1G2,,PT,2.163941
2007,Annual,National,_L_KG_010301_1G3,,PT,59.241298
2008,Annual,National,_L_KG_010301_1G3,,PT,61.233202
2009,Annual,National,_L_KG_010301_1G3,,PT,48.534186
2010,Annual,National,_L_KG_010301_1G3,,PT,49.060743
2011,Annual,National,_L_KG_010301_1G3,,PT,22.957535
2012,Annual,National,_L_KG_010301_1G3,,PT,12.62552
2013,Annual,National,_L_KG_010301_1G3,,PT,28.824314
2014,Annual,National,_L_KG_010301_1G3,,PT,24.113101999999998
2015,Annual,National,_L_KG_010301_1G3,,PT,20.458403
2016,Annual,National,_L_KG_010301_1G3,,PT,21.618658
2017,Annual,National,_L_KG_010301_1G3,,PT,20.190277
2018,Annual,National,_L_KG_010301_1G3,,PT,19.898854
