Year,Frequency of observation,Reporting type,Series,Reference area,Sex,Degree of urbanisation,Education level,Units,Value
2018,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,Percent,48.5
2018,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,Urban,,Percent,66.0
2018,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,Rural,,Percent,38.1
2018,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,Male,,,Percent,47.9
2018,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,Female,,,Percent,49.0
2018,Annual,National,Proportion of population that has convenient access to public transport,Batken,,,,Percent,32.9
2018,Annual,National,Proportion of population that has convenient access to public transport,Jalal-Abad,,,,Percent,18.3
2018,Annual,National,Proportion of population that has convenient access to public transport,Issyk-Kul,,,,Percent,72.5
2018,Annual,National,Proportion of population that has convenient access to public transport,Naryn,,,,Percent,39.3
2018,Annual,National,Proportion of population that has convenient access to public transport,Osh,,,,Percent,39.6
2018,Annual,National,Proportion of population that has convenient access to public transport,Talas,,,,Percent,42.2
2018,Annual,National,Proportion of population that has convenient access to public transport,Chui,,,,Percent,63.1
2018,Annual,National,Proportion of population that has convenient access to public transport,Bishkek (city),,,,Percent,67.7
2018,Annual,National,Proportion of population that has convenient access to public transport,Osh (city),,,,Percent,94.6
2018,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,Primary education,Percent,48.2
2018,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,Lower secondary education,Percent,51.2
2018,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,Upper secondary education,Percent,42.7
2018,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,Post-secondary non-tertiary education,Percent,55.4
2018,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,Short-cycle tertiary education,Percent,56.0
