Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2014,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,,HA,1.8
2015,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,,HA,1.7
2016,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,,HA,1.8
2017,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,,HA,1.7
2018,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,,HA,1.7
2014,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Batken,HA,0.3
2015,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Batken,HA,0.1
2016,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Batken,HA,0.1
2017,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Batken,HA,0.1
2018,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Batken,HA,0.2
2014,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Jalal-Abad,HA,0.8
2015,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Jalal-Abad,HA,0.8
2016,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Jalal-Abad,HA,0.9
2017,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Jalal-Abad,HA,0.9
2018,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Jalal-Abad,HA,0.9
2014,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Issyk-Kul,HA,1.4
2015,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Issyk-Kul,HA,1.3
2016,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Issyk-Kul,HA,1.4
2017,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Issyk-Kul,HA,0.4
2018,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Issyk-Kul,HA,0.4
2014,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Naryn,HA,1.4
2015,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Naryn,HA,1.5
2016,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Naryn,HA,1.6
2017,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Naryn,HA,1.7
2018,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Naryn,HA,1.9
2014,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Osh,HA,0.3
2015,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Osh,HA,0.3
2016,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Osh,HA,0.4
2017,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Osh,HA,0.4
2018,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Osh,HA,0.5
2014,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Talas,HA,0.8
2015,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Talas,HA,0.8
2016,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Talas,HA,0.8
2017,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Talas,HA,0.8
2018,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Talas,HA,0.8
2014,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Chui,HA,2.2
2015,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Chui,HA,2.1
2016,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Chui,HA,2.1
2017,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Chui,HA,2.1
2018,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Chui,HA,2.1
2014,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Bishkek (city),HA,5.3
2015,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Bishkek (city),HA,5.1
2016,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Bishkek (city),HA,5.1
2017,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Bishkek (city),HA,5.0
2018,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Bishkek (city),HA,4.7
2014,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Osh (city),HA,3.8
2015,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Osh (city),HA,3.6
2016,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Osh (city),HA,3.6
2017,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Osh (city),HA,3.5
2018,Normal value,Units,Country Data,Annual,National,_L_KG_110701_1A,Osh (city),HA,3.6
