Year,Frequency of observation,Reporting type,Series,Reference area,Sex,Units,Value
2007,Annual,National,VC_DSR_MORT,,,NUMBER,93
2008,Annual,National,VC_DSR_MORT,,,NUMBER,281
2009,Annual,National,VC_DSR_MORT,,,NUMBER,71
2010,Annual,National,VC_DSR_MORT,,,NUMBER,158
2011,Annual,National,VC_DSR_MORT,,,NUMBER,140
2012,Annual,National,VC_DSR_MORT,,,NUMBER,99
2013,Annual,National,VC_DSR_MORT,,,NUMBER,95
2014,Annual,National,VC_DSR_MORT,,,NUMBER,62
2015,Annual,National,VC_DSR_MORT,,,NUMBER,53
2016,Annual,National,VC_DSR_MORT,,,NUMBER,47
2017,Annual,National,VC_DSR_MORT,,,NUMBER,141
2018,Annual,National,VC_DSR_MORT,,,NUMBER,18
2007,Annual,National,VC_DSR_MORT,,Male,NUMBER,74
2008,Annual,National,VC_DSR_MORT,,Male,NUMBER,184
2009,Annual,National,VC_DSR_MORT,,Male,NUMBER,48
2010,Annual,National,VC_DSR_MORT,,Male,NUMBER,106
2011,Annual,National,VC_DSR_MORT,,Male,NUMBER,93
2012,Annual,National,VC_DSR_MORT,,Male,NUMBER,65
2013,Annual,National,VC_DSR_MORT,,Male,NUMBER,62
2014,Annual,National,VC_DSR_MORT,,Male,NUMBER,39
2015,Annual,National,VC_DSR_MORT,,Male,NUMBER,33
2016,Annual,National,VC_DSR_MORT,,Male,NUMBER,37
2017,Annual,National,VC_DSR_MORT,,Male,NUMBER,85
2018,Annual,National,VC_DSR_MORT,,Male,NUMBER,14
2007,Annual,National,VC_DSR_MORT,,Female,NUMBER,19
2008,Annual,National,VC_DSR_MORT,,Female,NUMBER,97
2009,Annual,National,VC_DSR_MORT,,Female,NUMBER,23
2010,Annual,National,VC_DSR_MORT,,Female,NUMBER,52
2011,Annual,National,VC_DSR_MORT,,Female,NUMBER,47
2012,Annual,National,VC_DSR_MORT,,Female,NUMBER,34
2013,Annual,National,VC_DSR_MORT,,Female,NUMBER,33
2014,Annual,National,VC_DSR_MORT,,Female,NUMBER,23
2015,Annual,National,VC_DSR_MORT,,Female,NUMBER,20
2016,Annual,National,VC_DSR_MORT,,Female,NUMBER,10
