Year,Frequency of observation,Reporting type,SDG Series,Reference area,Age,Unit of measure,Value
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,1 to 14 years old,Percent,57.1
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,1 to 14 years old,Percent,74.3
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Batken,1 to 14 years old,Percent,49.4
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Batken,1 to 14 years old,Percent,46.8
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Jalal-Abad,1 to 14 years old,Percent,42.9
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Jalal-Abad,1 to 14 years old,Percent,65.5
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Issyk-Kul,1 to 14 years old,Percent,48.2
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Issyk-Kul,1 to 14 years old,Percent,80.9
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Naryn,1 to 14 years old,Percent,58.0
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Naryn,1 to 14 years old,Percent,74.0
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Osh,1 to 14 years old,Percent,57.8
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Osh,1 to 14 years old,Percent,74.4
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Talas,1 to 14 years old,Percent,71.1
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Talas,1 to 14 years old,Percent,79.9
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Chui,1 to 14 years old,Percent,66.8
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Chui,1 to 14 years old,Percent,83.5
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Bishkek (city),1 to 14 years old,Percent,70.3
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Bishkek (city),1 to 14 years old,Percent,80.5
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Osh (city),1 to 14 years old,Percent,71.1
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Osh (city),1 to 14 years old,Percent,85.6
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,1 to 2 years old,Percent,45.5
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,1 to 2 years old,Percent,55.3
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,1 year old,Percent,39.5
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,2 years old,Percent,51.8
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,3 to 4 years old,Percent,67.1
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,3 to 4 years old,Percent,71.2
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,5 to 6 years old,Percent,61.9
2014,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,10 to 14 years old,Percent,52.7
2018,Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,10 to 14 years old,Percent,78.8
