Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,Series,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Disability status,Units,Value
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,15 to 49 years old,,,,,PT,7.7
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,15 to 49 years old,Urban,,,,PT,7.9
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,15 to 49 years old,Rural,,,,PT,7.6
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,Batken,Female,15 to 49 years old,,,,,PT,0.4
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,Jalal-Abad,Female,15 to 49 years old,,,,,PT,7.3
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,Issyk-Kul,Female,15 to 49 years old,,,,,PT,1.7
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,Naryn,Female,15 to 49 years old,,,,,PT,2.8
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,Osh,Female,15 to 49 years old,,,,,PT,6.5
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,Talas,Female,15 to 49 years old,,,,,PT,50.0
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,Chui,Female,15 to 49 years old,,,,,PT,16.6
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,Bishkek (city),Female,15 to 49 years old,,,,,PT,8.7
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,Osh (city),Female,15 to 49 years old,,,,,PT,70.0
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,15 to 19 years old,,,,,PT,6.5
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,15 to 17 years old,,,,,PT,5.7
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,18 to 19 years old,,,,,PT,8.3
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,20 to 24 years old,,,,,PT,9.1
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,25 to 29 years old,,,,,PT,7.1
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,30 to 34 years old,,,,,PT,8.8
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,35 to 39 years old,,,,,PT,8.7
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,40 to 44 years old,,,,,PT,6.4
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,45 to 49 years old,,,,,PT,70.0
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,15 to 49 years old,,,Primary education,,PT,140.0
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,15 to 49 years old,,,Lower secondary education,,PT,59.0
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,15 to 49 years old,,,Upper secondary education,,PT,69.0
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,15 to 49 years old,,,Post-secondary non-tertiary education,,PT,82.0
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,15 to 49 years old,,,,Persons with disability,PT,207.0
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,15 to 49 years old,,,,Persons without disability,PT,76.0
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,15 to 49 years old,,Quintile 1 (poorest),,,PT,60.0
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,15 to 49 years old,,Quintile 2,,,PT,67.0
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,15 to 49 years old,,Quintile 3,,,PT,97.0
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,15 to 49 years old,,Quintile 4,,,PT,71.0
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,VC_VOV_DCMN,,Female,15 to 49 years old,,Quintile 5 (richest),,,PT,88.0
