Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2007,Normal value,Units,Country Data,Annual,National,GC_GOB_TAXD,,PT,73.7
2008,Normal value,Units,Country Data,Annual,National,GC_GOB_TAXD,,PT,77.0
2009,Normal value,Units,Country Data,Annual,National,GC_GOB_TAXD,,PT,64.8
2010,Normal value,Units,Country Data,Annual,National,GC_GOB_TAXD,,PT,67.9
2011,Normal value,Units,Country Data,Annual,National,GC_GOB_TAXD,,PT,68.1
2012,Normal value,Units,Country Data,Annual,National,GC_GOB_TAXD,,PT,73.0
2013,Normal value,Units,Country Data,Annual,National,GC_GOB_TAXD,,PT,71.5
2014,Normal value,Units,Country Data,Annual,National,GC_GOB_TAXD,,PT,69.2
2015,Normal value,Units,Country Data,Annual,National,GC_GOB_TAXD,,PT,65.9
2016,Normal value,Units,Country Data,Annual,National,GC_GOB_TAXD,,PT,71.8
2017,Normal value,Units,Country Data,Annual,National,GC_GOB_TAXD,,PT,69.1
2018,Normal value,Units,Country Data,Annual,National,GC_GOB_TAXD,,PT,76.9
