Year,Frequency of observation,Reporting type,Series,Reference area,Type of product,Units,Value
2010,Annual,National,_L_KG_020101_1E,Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",PT,63.132137
2011,Annual,National,_L_KG_020101_1E,Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",PT,63.132137
2012,Annual,National,_L_KG_020101_1E,Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",PT,60.195758999999995
2013,Annual,National,_L_KG_020101_1E,Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",PT,55.138662
2014,Annual,National,_L_KG_020101_1E,Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",PT,56.443718999999994
2015,Annual,National,_L_KG_020101_1E,Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",PT,64.600326
2016,Annual,National,_L_KG_020101_1E,Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",PT,63.132137
2017,Annual,National,_L_KG_020101_1E,Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",PT,62.805873
2018,Annual,National,_L_KG_020101_1E,Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",PT,65.742251
2010,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Milk and dairy products in milk equivalent,PT,106.2
2011,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Milk and dairy products in milk equivalent,PT,106.5
2012,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Milk and dairy products in milk equivalent,PT,105.75
2013,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Milk and dairy products in milk equivalent,PT,107.5
2014,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Milk and dairy products in milk equivalent,PT,107.8
2015,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Milk and dairy products in milk equivalent,PT,113.15
2016,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Milk and dairy products in milk equivalent,PT,112.25
2017,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Milk and dairy products in milk equivalent,PT,111.65
2018,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Milk and dairy products in milk equivalent,PT,109.4
2010,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Eggs,PT,43.506849
2011,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Eggs,PT,45.041096
2012,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Eggs,PT,44.273973
2013,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Eggs,PT,45.479452
2014,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Eggs,PT,44.767123
2015,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Eggs,PT,47.287671
2016,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Eggs,PT,43.835615999999995
