Year,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2007,Annual,National,AG_PRD_ORTIND,,IX,0.089219
2008,Annual,National,AG_PRD_ORTIND,,IX,0.06383
2009,Annual,National,AG_PRD_ORTIND,,IX,0.079787
2010,Annual,National,AG_PRD_ORTIND,,IX,0.068571
2011,Annual,National,AG_PRD_ORTIND,,IX,0.060241
2012,Annual,National,AG_PRD_ORTIND,,IX,0.048193
2013,Annual,National,AG_PRD_ORTIND,,IX,0.068493
2014,Annual,National,AG_PRD_ORTIND,,IX,0.061224
2015,Annual,National,AG_PRD_ORTIND,,IX,0.078571
2016,Annual,National,AG_PRD_ORTIND,,IX,0.078125
2017,Annual,National,AG_PRD_ORTIND,,IX,0.072
2018,Annual,National,AG_PRD_ORTIND,,IX,0.094
