Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2007,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,,PT,131.547158
2008,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,,PT,120.913387
2009,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,,PT,92.628335
2010,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,,PT,127.019995
2011,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,,PT,103.485746
2012,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,,PT,104.494474
2013,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,,PT,101.769602
2014,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,,PT,113.857081
2015,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,,PT,95.794976
2016,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,,PT,94.980194
2017,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,,PT,102.713332
2018,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,,PT,97.394314
2007,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Batken,PT,129.740223
2008,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Batken,PT,122.152556
2009,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Batken,PT,98.079552
2010,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Batken,PT,134.872599
2011,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Batken,PT,108.143261
2012,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Batken,PT,104.669453
2013,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Batken,PT,103.067841
2014,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Batken,PT,113.826871
2015,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Batken,PT,92.841081
2016,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Batken,PT,95.516291
2017,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Batken,PT,104.587578
2018,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Batken,PT,94.575897
2007,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Jalal-Abad,PT,131.474644
2008,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Jalal-Abad,PT,133.108773
2009,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Jalal-Abad,PT,94.285732
2010,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Jalal-Abad,PT,133.48734
2011,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Jalal-Abad,PT,105.19525
2012,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Jalal-Abad,PT,104.995426
2013,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Jalal-Abad,PT,103.702848
2014,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Jalal-Abad,PT,118.268743
2015,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Jalal-Abad,PT,94.347779
2016,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Jalal-Abad,PT,95.233819
2017,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Jalal-Abad,PT,103.296213
2018,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Jalal-Abad,PT,99.437848
2007,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Issyk-Kul,PT,136.022851
2008,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Issyk-Kul,PT,116.499725
2009,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Issyk-Kul,PT,90.4746
2010,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Issyk-Kul,PT,126.103007
