Year,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2007,Annual,National,SH_STA_BRTC,,PT,98.43686600000001
2008,Annual,National,SH_STA_BRTC,,PT,98.483992
2009,Annual,National,SH_STA_BRTC,,PT,98.495642
2010,Annual,National,SH_STA_BRTC,,PT,98.309687
2011,Annual,National,SH_STA_BRTC,,PT,98.622407
2012,Annual,National,SH_STA_BRTC,,PT,98.838817
2013,Annual,National,SH_STA_BRTC,,PT,98.985022
2014,Annual,National,SH_STA_BRTC,,PT,99.176724
2015,Annual,National,SH_STA_BRTC,,PT,99.230049
2016,Annual,National,SH_STA_BRTC,,PT,99.185581
2017,Annual,National,SH_STA_BRTC,,PT,99.3
2018,Annual,National,SH_STA_BRTC,,PT,99.3
2007,Annual,National,SH_STA_BRTC,Batken,PT,97.74409
2008,Annual,National,SH_STA_BRTC,Batken,PT,97.474925
2009,Annual,National,SH_STA_BRTC,Batken,PT,98.87450799999999
2010,Annual,National,SH_STA_BRTC,Batken,PT,96.861772
2011,Annual,National,SH_STA_BRTC,Batken,PT,97.13801
2012,Annual,National,SH_STA_BRTC,Batken,PT,98.465778
2013,Annual,National,SH_STA_BRTC,Batken,PT,99.080933
2014,Annual,National,SH_STA_BRTC,Batken,PT,99.356181
2015,Annual,National,SH_STA_BRTC,Batken,PT,99.26163100000001
2016,Annual,National,SH_STA_BRTC,Batken,PT,98.97959200000001
2017,Annual,National,SH_STA_BRTC,Batken,PT,99.2
2018,Annual,National,SH_STA_BRTC,Batken,PT,99.4
2007,Annual,National,SH_STA_BRTC,Jalal-Abad,PT,98.959241
2008,Annual,National,SH_STA_BRTC,Jalal-Abad,PT,98.57502099999999
2009,Annual,National,SH_STA_BRTC,Jalal-Abad,PT,98.923445
2010,Annual,National,SH_STA_BRTC,Jalal-Abad,PT,98.940709
2011,Annual,National,SH_STA_BRTC,Jalal-Abad,PT,99.11574399999999
2012,Annual,National,SH_STA_BRTC,Jalal-Abad,PT,99.045346
2013,Annual,National,SH_STA_BRTC,Jalal-Abad,PT,99.080837
2014,Annual,National,SH_STA_BRTC,Jalal-Abad,PT,99.16136999999999
2015,Annual,National,SH_STA_BRTC,Jalal-Abad,PT,99.29911899999999
2016,Annual,National,SH_STA_BRTC,Jalal-Abad,PT,99.265036
2017,Annual,National,SH_STA_BRTC,Jalal-Abad,PT,99.4
2018,Annual,National,SH_STA_BRTC,Jalal-Abad,PT,99.4
2007,Annual,National,SH_STA_BRTC,Issyk-Kul,PT,99.29424499999999
2008,Annual,National,SH_STA_BRTC,Issyk-Kul,PT,99.008513
2009,Annual,National,SH_STA_BRTC,Issyk-Kul,PT,99.274602
2010,Annual,National,SH_STA_BRTC,Issyk-Kul,PT,99.41453100000001
