Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,Series,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Disability status,Units,Value
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,,Female,,,,,,PT,42.0
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,,Female,,,,,,PT,67.4
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,Batken,Female,,,,,,PT,45.0
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,Batken,Female,,,,,,PT,48.6
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,Jalal-Abad,Female,,,,,,PT,31.4
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,Jalal-Abad,Female,,,,,,PT,56.2
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,Issyk-Kul,Female,,,,,,PT,46.0
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,Issyk-Kul,Female,,,,,,PT,65.1
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,Naryn,Female,,,,,,PT,58.9
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,Naryn,Female,,,,,,PT,79.8
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,Osh,Female,,,,,,PT,38.4
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,Osh,Female,,,,,,PT,71.1
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,Talas,Female,,,,,,PT,43.4
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,Talas,Female,,,,,,PT,79.1
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,Chui,Female,,,,,,PT,47.8
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,Chui,Female,,,,,,PT,70.7
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,Bishkek (city),Female,,,,,,PT,47.0
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,Bishkek (city),Female,,,,,,PT,69.6
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,Osh (city),Female,,,,,,PT,38.3
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,Osh (city),Female,,,,,,PT,71.3
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,,Female,,Urban,,,,PT,43.1
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,,Female,,Urban,,,,PT,68.6
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,,Female,,Rural,,,,PT,41.4
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,,Female,,Rural,,,,PT,66.7
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,,Female,15 to 19 years old,,,,,PT,17.4
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,,Female,15 to 19 years old,,,,,PT,31.7
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,,Female,20 to 24 years old,,,,,PT,28.9
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,,Female,20 to 24 years old,,,,,PT,53.8
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,,Female,25 to 29 years old,,,,,PT,39.2
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,,Female,25 to 29 years old,,,,,PT,59.9
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,,Female,30 to 34 years old,,,,,PT,50.4
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,,Female,30 to 34 years old,,,,,PT,76.2
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,,Female,35 to 39 years old,,,,,PT,57.2
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,,Female,35 to 39 years old,,,,,PT,74.5
