Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Sex,Units,Value
2007,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,,PER_100000_POP,15
2008,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,,PER_100000_POP,19
2009,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,,PER_100000_POP,13
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,,PER_100000_POP,9
2011,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,,PER_100000_POP,10
2012,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,,PER_100000_POP,11
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,,PER_100000_POP,8
2014,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,,PER_100000_POP,8
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,,PER_100000_POP,7
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,,PER_100000_POP,8
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,,PER_100000_POP,8
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,,PER_100000_POP,8
2007,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Female,PER_100000_POP,9
2008,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Female,PER_100000_POP,14
2009,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Female,PER_100000_POP,8
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Female,PER_100000_POP,6
2011,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Female,PER_100000_POP,4
2012,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Female,PER_100000_POP,7
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Female,PER_100000_POP,5
2014,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Female,PER_100000_POP,3
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Female,PER_100000_POP,3
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Female,PER_100000_POP,4
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Female,PER_100000_POP,4
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Female,PER_100000_POP,5
2007,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Male,PER_100000_POP,22
2008,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Male,PER_100000_POP,24
2009,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Male,PER_100000_POP,18
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Male,PER_100000_POP,12
2011,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Male,PER_100000_POP,16
2012,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Male,PER_100000_POP,16
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Male,PER_100000_POP,12
2014,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Male,PER_100000_POP,13
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Male,PER_100000_POP,12
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Male,PER_100000_POP,11
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Male,PER_100000_POP,12
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,,Male,PER_100000_POP,11
2007,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,,PER_100000_POP,9
2008,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,,PER_100000_POP,2
2009,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,,PER_100000_POP,16
2011,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,,PER_100000_POP,4
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,,PER_100000_POP,6
2014,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,,PER_100000_POP,2
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,,PER_100000_POP,16
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,,PER_100000_POP,2
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,,PER_100000_POP,16
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,,PER_100000_POP,8
2009,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,Female,PER_100000_POP,9
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,Female,PER_100000_POP,9
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,Female,PER_100000_POP,4
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,Female,PER_100000_POP,8
2007,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,Male,PER_100000_POP,19
2008,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,Male,PER_100000_POP,5
2009,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,Male,PER_100000_POP,23
2011,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,Male,PER_100000_POP,9
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,Male,PER_100000_POP,4
2014,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,Male,PER_100000_POP,4
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,Male,PER_100000_POP,32
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,Male,PER_100000_POP,4
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,Male,PER_100000_POP,27
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Batken,Male,PER_100000_POP,8
2007,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Jalal-Abad,,PER_100000_POP,2
2008,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Jalal-Abad,,PER_100000_POP,2
2009,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Jalal-Abad,,PER_100000_POP,9
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Jalal-Abad,,PER_100000_POP,6
2011,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Jalal-Abad,,PER_100000_POP,3
2012,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Jalal-Abad,,PER_100000_POP,5
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Jalal-Abad,,PER_100000_POP,1
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Jalal-Abad,,PER_100000_POP,1
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Jalal-Abad,,PER_100000_POP,5
