Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2007,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,,PT,94.1
2008,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,,PT,95.3
2009,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,,PT,95.4
2010,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,,PT,96.5
2011,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,,PT,95.1
2012,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,,PT,96.2
2013,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,,PT,96.9
2014,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,,PT,95.8
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,,PT,96.6
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,,PT,96.1
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,,PT,93.4
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,,PT,94.5
2007,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Batken,PT,93.4
2008,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Batken,PT,96.8
2009,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Batken,PT,95.4
2010,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Batken,PT,96.8
2011,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Batken,PT,96.7
2012,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Batken,PT,98.3
2013,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Batken,PT,97.7
2014,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Batken,PT,98.9
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Batken,PT,98.6
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Batken,PT,98.1
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Batken,PT,96.7
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Batken,PT,96.6
2007,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Jalal-Abad,PT,93.6
2008,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Jalal-Abad,PT,95.6
2009,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Jalal-Abad,PT,95.9
2010,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Jalal-Abad,PT,95.9
2011,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Jalal-Abad,PT,94.2
2012,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Jalal-Abad,PT,95.9
2013,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Jalal-Abad,PT,97.8
2014,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Jalal-Abad,PT,94.8
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Jalal-Abad,PT,96.1
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Jalal-Abad,PT,95.8
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Jalal-Abad,PT,93.8
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Jalal-Abad,PT,96.1
2007,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Issyk-Kul,PT,93.9
2008,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Issyk-Kul,PT,95.2
2009,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Issyk-Kul,PT,95.3
2010,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Issyk-Kul,PT,97.2
2011,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Issyk-Kul,PT,93.6
2012,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Issyk-Kul,PT,96.9
2013,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Issyk-Kul,PT,97.3
2014,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Issyk-Kul,PT,91.3
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Issyk-Kul,PT,98.0
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Issyk-Kul,PT,95.9
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Issyk-Kul,PT,96.1
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Issyk-Kul,PT,95.0
2007,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Naryn,PT,94.4
2008,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Naryn,PT,95.2
2009,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Naryn,PT,95.3
2010,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Naryn,PT,96.8
2011,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Naryn,PT,95.5
2012,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Naryn,PT,97.4
2013,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Naryn,PT,98.0
2014,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Naryn,PT,97.6
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Naryn,PT,97.2
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Naryn,PT,96.8
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Naryn,PT,97.0
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Naryn,PT,94.8
2007,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh,PT,94.4
2008,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh,PT,94.5
2009,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh,PT,95.1
2010,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh,PT,95.5
2011,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh,PT,93.6
2012,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh,PT,93.0
2013,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh,PT,96.2
2014,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh,PT,98.3
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh,PT,97.1
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh,PT,98.5
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh,PT,96.6
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh,PT,95.8
2007,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Talas,PT,94.0
2008,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Talas,PT,94.8
2009,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Talas,PT,94.6
2010,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Talas,PT,96.8
2011,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Talas,PT,95.3
2012,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Talas,PT,96.0
2013,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Talas,PT,96.2
2014,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Talas,PT,93.4
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Talas,PT,96.8
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Talas,PT,95.2
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Talas,PT,93.1
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Talas,PT,95.3
2007,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Chui,PT,94.0
2008,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Chui,PT,95.5
2009,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Chui,PT,95.5
2010,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Chui,PT,96.3
2011,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Chui,PT,96.8
2012,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Chui,PT,97.6
2013,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Chui,PT,96.3
2014,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Chui,PT,96.0
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Chui,PT,97.0
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Chui,PT,97.5
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Chui,PT,91.8
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Chui,PT,92.5
2007,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Bishkek (city),PT,95.0
2008,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Bishkek (city),PT,94.9
2009,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Bishkek (city),PT,95.5
2010,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Bishkek (city),PT,96.8
