Year,Frequency of observation,Reporting type,Series,Reference area,Sex,Age,Education level,Units,Value
2010,Annual,National,_L_KG_040301_1,,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,9.0
2013,Annual,National,_L_KG_040301_1,,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,9.4
2014,Annual,National,_L_KG_040301_1,,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,9.3
2015,Annual,National,_L_KG_040301_1,,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,9.5
2016,Annual,National,_L_KG_040301_1,,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,10.4
2017,Annual,National,_L_KG_040301_1,,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,10.9
2018,Annual,National,_L_KG_040301_1,,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,10.1
2019,Annual,National,_L_KG_040301_1,,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,10.0
2010,Annual,National,_L_KG_040301_1,,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,5.4
2013,Annual,National,_L_KG_040301_1,,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,6.0
2014,Annual,National,_L_KG_040301_1,,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,5.6
2015,Annual,National,_L_KG_040301_1,,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,5.8
2016,Annual,National,_L_KG_040301_1,,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,6.3
2017,Annual,National,_L_KG_040301_1,,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,6.9
2018,Annual,National,_L_KG_040301_1,,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,6.2
2019,Annual,National,_L_KG_040301_1,,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,6.2
2010,Annual,National,_L_KG_040301_1,,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,12.5
2013,Annual,National,_L_KG_040301_1,,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,12.6
2014,Annual,National,_L_KG_040301_1,,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,12.9
2015,Annual,National,_L_KG_040301_1,,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,13.1
2016,Annual,National,_L_KG_040301_1,,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,14.3
2017,Annual,National,_L_KG_040301_1,,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,14.7
2018,Annual,National,_L_KG_040301_1,,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,13.9
2019,Annual,National,_L_KG_040301_1,,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),PT,13.7
