Year,Frequency of observation,Reporting type,Series,Reference area,Sex,Age,Composite breakdown,Units,Value
2018,Annual,National,SE_ADT_ACTS,Kyrgyzstan,Female,15 to 24 years old,Skill: ICT Skill: Copying or moving a file or folder,PT,23.8
2018,Annual,National,SE_ADT_ACTS,Kyrgyzstan,Female,15 to 24 years old,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,PT,23.4
2018,Annual,National,SE_ADT_ACTS,Kyrgyzstan,Female,15 to 24 years old,Skill: ICT Skill: Sending e-mails with attached files,PT,21.2
2018,Annual,National,SE_ADT_ACTS,Kyrgyzstan,Female,15 to 24 years old,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,PT,13.6
2018,Annual,National,SE_ADT_ACTS,Kyrgyzstan,Female,15 to 24 years old,Skill: ICT Skill: connecting and installing new devices,PT,7.3
2018,Annual,National,SE_ADT_ACTS,Kyrgyzstan,Female,15 to 24 years old,"Skill: ICT Skill: Finding, downloading, installing and configuring software",PT,7.5
2018,Annual,National,SE_ADT_ACTS,Kyrgyzstan,Female,15 to 24 years old,Skill: ICT Skill: Creating electronic presentations with presentation software,PT,13.2
2018,Annual,National,SE_ADT_ACTS,Kyrgyzstan,Female,15 to 24 years old,Skill: ICT Skill: Transferring files between a computer and other devices,PT,12.1
2018,Annual,National,SE_ADT_ACTS,Kyrgyzstan,Female,15 to 24 years old,Skill: ICT Skill: Writing a computer program using a specialized programming language,PT,3.2
2018,Annual,National,SE_ADT_ACTS,Kyrgyzstan,Female,15 to 49 years old,Skill: ICT Skill: Copying or moving a file or folder,PT,17.1
2018,Annual,National,SE_ADT_ACTS,Kyrgyzstan,Female,15 to 49 years old,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,PT,16.9
2018,Annual,National,SE_ADT_ACTS,Kyrgyzstan,Female,15 to 49 years old,Skill: ICT Skill: Sending e-mails with attached files,PT,15.4
2018,Annual,National,SE_ADT_ACTS,Kyrgyzstan,Female,15 to 49 years old,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,PT,9.7
2018,Annual,National,SE_ADT_ACTS,Kyrgyzstan,Female,15 to 49 years old,Skill: ICT Skill: connecting and installing new devices,PT,6.2
2018,Annual,National,SE_ADT_ACTS,Kyrgyzstan,Female,15 to 49 years old,"Skill: ICT Skill: Finding, downloading, installing and configuring software",PT,5.8
2018,Annual,National,SE_ADT_ACTS,Kyrgyzstan,Female,15 to 49 years old,Skill: ICT Skill: Creating electronic presentations with presentation software,PT,8.9
2018,Annual,National,SE_ADT_ACTS,Kyrgyzstan,Female,15 to 49 years old,Skill: ICT Skill: Transferring files between a computer and other devices,PT,8.4
2018,Annual,National,SE_ADT_ACTS,Kyrgyzstan,Female,15 to 49 years old,Skill: ICT Skill: Writing a computer program using a specialized programming language,PT,2.0
