Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Sex,Units,Value
2010,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A1,,Female,NUMBER,1308
2011,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A1,,Female,NUMBER,1453
2012,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A1,,Female,NUMBER,1900
2013,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A1,,Female,NUMBER,1589
2014,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A1,,Female,NUMBER,1988
2015,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A1,,Female,NUMBER,936
2016,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A1,,Female,NUMBER,1172
2017,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A1,,Female,NUMBER,1382
2018,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A1,,Female,NUMBER,1305
2010,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A2,,Female,NUMBER,68
2011,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A2,,Female,NUMBER,155
2012,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A2,,Female,NUMBER,16
2013,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A2,,Female,NUMBER,48
2014,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A2,,Female,NUMBER,35
2015,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A2,,Female,NUMBER,12
2016,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A2,,Female,NUMBER,2
2017,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A2,,Female,NUMBER,1
2010,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A3,,Female,NUMBER,401
2011,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A3,,Female,NUMBER,581
2012,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A3,,Female,NUMBER,509
2013,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A3,,Female,NUMBER,508
2014,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A3,,Female,NUMBER,495
2015,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A3,,Female,NUMBER,666
2016,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A3,,Female,NUMBER,657
2017,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A3,,Female,NUMBER,629
2018,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A3,,Female,NUMBER,555
2010,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A4,,Female,NUMBER,414
2011,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A4,,Female,NUMBER,320
2012,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A4,,Female,NUMBER,498
2013,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A4,,Female,NUMBER,822
2014,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A4,,Female,NUMBER,570
2015,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A4,,Female,NUMBER,485
2016,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A4,,Female,NUMBER,372
2017,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A4,,Female,NUMBER,176
2018,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A4,,Female,NUMBER,47
2010,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A5,,Female,NUMBER,445
2011,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A5,,Female,NUMBER,491
2012,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A5,,Female,NUMBER,504
2013,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A5,,Female,NUMBER,600
2014,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A5,,Female,NUMBER,731
2015,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A5,,Female,NUMBER,1896
2016,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A5,,Female,NUMBER,1404
2017,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A5,,Female,NUMBER,1084
2018,Normal value,Units,Country Data,Annual,National,_L_KG_050201_1A5,,Female,NUMBER,970
