Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,Series,Reference area,Sex,Units,Value
2007,Normal value,Units,Country Data,as a percentage of the total number of managers,Annual,National,IC_GEN_MGTL,,Female,PT,31.5
2008,Normal value,Units,Country Data,as a percentage of the total number of managers,Annual,National,IC_GEN_MGTL,,Female,PT,31.9
2009,Normal value,Units,Country Data,as a percentage of the total number of managers,Annual,National,IC_GEN_MGTL,,Female,PT,30.6
2010,Normal value,Units,Country Data,as a percentage of the total number of managers,Annual,National,IC_GEN_MGTL,,Female,PT,32.3
2011,Normal value,Units,Country Data,as a percentage of the total number of managers,Annual,National,IC_GEN_MGTL,,Female,PT,28.9
2012,Normal value,Units,Country Data,as a percentage of the total number of managers,Annual,National,IC_GEN_MGTL,,Female,PT,32.3
2013,Normal value,Units,Country Data,as a percentage of the total number of managers,Annual,National,IC_GEN_MGTL,,Female,PT,27.5
2014,Normal value,Units,Country Data,as a percentage of the total number of managers,Annual,National,IC_GEN_MGTL,,Female,PT,33.4
2015,Normal value,Units,Country Data,as a percentage of the total number of managers,Annual,National,IC_GEN_MGTL,,Female,PT,36.1
2016,Normal value,Units,Country Data,as a percentage of the total number of managers,Annual,National,IC_GEN_MGTL,,Female,PT,34.9
2017,Normal value,Units,Country Data,as a percentage of the total number of managers,Annual,National,IC_GEN_MGTL,,Female,PT,36.2
2018,Normal value,Units,Country Data,as a percentage of the total number of managers,Annual,National,IC_GEN_MGTL,,Female,PT,37.9
