Year,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2007,Annual,National,_L_KG_060101_2B1,Kyrgyzstan,PT,2.1
2008,Annual,National,_L_KG_060101_2B1,Kyrgyzstan,PT,2.4
2009,Annual,National,_L_KG_060101_2B1,Kyrgyzstan,PT,2.0
2010,Annual,National,_L_KG_060101_2B1,Kyrgyzstan,PT,2.9
2011,Annual,National,_L_KG_060101_2B1,Kyrgyzstan,PT,2.0
2012,Annual,National,_L_KG_060101_2B1,Kyrgyzstan,PT,2.5
2013,Annual,National,_L_KG_060101_2B1,Kyrgyzstan,PT,2.5
2014,Annual,National,_L_KG_060101_2B1,Kyrgyzstan,PT,1.3
2015,Annual,National,_L_KG_060101_2B1,Kyrgyzstan,PT,1.6
2016,Annual,National,_L_KG_060101_2B1,Kyrgyzstan,PT,2.1
2017,Annual,National,_L_KG_060101_2B1,Kyrgyzstan,PT,2.0
2018,Annual,National,_L_KG_060101_2B1,Kyrgyzstan,PT,1.7
2007,Annual,National,_L_KG_060101_2B2,Kyrgyzstan,PT,10.6
2008,Annual,National,_L_KG_060101_2B2,Kyrgyzstan,PT,10.7
2009,Annual,National,_L_KG_060101_2B2,Kyrgyzstan,PT,9.5
2010,Annual,National,_L_KG_060101_2B2,Kyrgyzstan,PT,11.3
2011,Annual,National,_L_KG_060101_2B2,Kyrgyzstan,PT,12.7
2012,Annual,National,_L_KG_060101_2B2,Kyrgyzstan,PT,10.7
2013,Annual,National,_L_KG_060101_2B2,Kyrgyzstan,PT,8.4
2014,Annual,National,_L_KG_060101_2B2,Kyrgyzstan,PT,6.5
2015,Annual,National,_L_KG_060101_2B2,Kyrgyzstan,PT,7.7
2016,Annual,National,_L_KG_060101_2B2,Kyrgyzstan,PT,8.4
2017,Annual,National,_L_KG_060101_2B2,Kyrgyzstan,PT,8.1
2018,Annual,National,_L_KG_060101_2B2,Kyrgyzstan,PT,8.2
