Year,Frequency of observation,Reporting type,Series,Reference area,Degree of urbanisation,Units,Value
2011,Annual,National,SH_H2O_SAFE,,,PT,92.4
2012,Annual,National,SH_H2O_SAFE,,,PT,93.2
2013,Annual,National,SH_H2O_SAFE,,,PT,89.6
2014,Annual,National,SH_H2O_SAFE,,,PT,88.9
2015,Annual,National,SH_H2O_SAFE,,,PT,89.1
2016,Annual,National,SH_H2O_SAFE,,,PT,89.9
2017,Annual,National,SH_H2O_SAFE,,,PT,91.1
2018,Annual,National,SH_H2O_SAFE,,,PT,91.8
2011,Annual,National,SH_H2O_SAFE,,Urban,PT,99.7
2012,Annual,National,SH_H2O_SAFE,,Urban,PT,99.8
2013,Annual,National,SH_H2O_SAFE,,Urban,PT,99.5
2014,Annual,National,SH_H2O_SAFE,,Urban,PT,99.1
2015,Annual,National,SH_H2O_SAFE,,Urban,PT,99.1
2016,Annual,National,SH_H2O_SAFE,,Urban,PT,99.3
2017,Annual,National,SH_H2O_SAFE,,Urban,PT,93.9
2018,Annual,National,SH_H2O_SAFE,,Urban,PT,99.3
2011,Annual,National,SH_H2O_SAFE,,Rural,PT,88.0
2012,Annual,National,SH_H2O_SAFE,,Rural,PT,89.4
2013,Annual,National,SH_H2O_SAFE,,Rural,PT,84.4
2014,Annual,National,SH_H2O_SAFE,,Rural,PT,83.3
2015,Annual,National,SH_H2O_SAFE,,Rural,PT,83.7
2016,Annual,National,SH_H2O_SAFE,,Rural,PT,84.9
2017,Annual,National,SH_H2O_SAFE,,Rural,PT,86.7
2018,Annual,National,SH_H2O_SAFE,,Rural,PT,87.8
2011,Annual,National,SH_H2O_SAFE,Batken,,PT,69.7
2012,Annual,National,SH_H2O_SAFE,Batken,,PT,70.0
2013,Annual,National,SH_H2O_SAFE,Batken,,PT,73.1
2014,Annual,National,SH_H2O_SAFE,Batken,,PT,74.3
2015,Annual,National,SH_H2O_SAFE,Batken,,PT,73.3
2016,Annual,National,SH_H2O_SAFE,Batken,,PT,74.1
2017,Annual,National,SH_H2O_SAFE,Batken,,PT,79.0
2018,Annual,National,SH_H2O_SAFE,Batken,,PT,83.6
2011,Annual,National,SH_H2O_SAFE,Jalal-Abad,,PT,95.4
2012,Annual,National,SH_H2O_SAFE,Jalal-Abad,,PT,96.0
2013,Annual,National,SH_H2O_SAFE,Jalal-Abad,,PT,91.6
2014,Annual,National,SH_H2O_SAFE,Jalal-Abad,,PT,89.5
2015,Annual,National,SH_H2O_SAFE,Jalal-Abad,,PT,87.7
2016,Annual,National,SH_H2O_SAFE,Jalal-Abad,,PT,87.3
2017,Annual,National,SH_H2O_SAFE,Jalal-Abad,,PT,91.2
2018,Annual,National,SH_H2O_SAFE,Jalal-Abad,,PT,86.4
2011,Annual,National,SH_H2O_SAFE,Issyk-Kul,,PT,99.0
2012,Annual,National,SH_H2O_SAFE,Issyk-Kul,,PT,99.0
2013,Annual,National,SH_H2O_SAFE,Issyk-Kul,,PT,93.7
2014,Annual,National,SH_H2O_SAFE,Issyk-Kul,,PT,96.8
2015,Annual,National,SH_H2O_SAFE,Issyk-Kul,,PT,96.4
2016,Annual,National,SH_H2O_SAFE,Issyk-Kul,,PT,97.3
2017,Annual,National,SH_H2O_SAFE,Issyk-Kul,,PT,97.0
2018,Annual,National,SH_H2O_SAFE,Issyk-Kul,,PT,96.0
2011,Annual,National,SH_H2O_SAFE,Naryn,,PT,89.2
2012,Annual,National,SH_H2O_SAFE,Naryn,,PT,89.1
2013,Annual,National,SH_H2O_SAFE,Naryn,,PT,86.8
2014,Annual,National,SH_H2O_SAFE,Naryn,,PT,84.4
2015,Annual,National,SH_H2O_SAFE,Naryn,,PT,90.3
2016,Annual,National,SH_H2O_SAFE,Naryn,,PT,95.9
2017,Annual,National,SH_H2O_SAFE,Naryn,,PT,95.8
2018,Annual,National,SH_H2O_SAFE,Naryn,,PT,96.3
2011,Annual,National,SH_H2O_SAFE,Osh,,PT,86.4
2012,Annual,National,SH_H2O_SAFE,Osh,,PT,88.7
2013,Annual,National,SH_H2O_SAFE,Osh,,PT,73.7
2014,Annual,National,SH_H2O_SAFE,Osh,,PT,72.9
2015,Annual,National,SH_H2O_SAFE,Osh,,PT,74.5
2016,Annual,National,SH_H2O_SAFE,Osh,,PT,76.4
2017,Annual,National,SH_H2O_SAFE,Osh,,PT,77.3
2018,Annual,National,SH_H2O_SAFE,Osh,,PT,83.2
2011,Annual,National,SH_H2O_SAFE,Talas,,PT,96.5
2012,Annual,National,SH_H2O_SAFE,Talas,,PT,97.6
2013,Annual,National,SH_H2O_SAFE,Talas,,PT,99.7
2014,Annual,National,SH_H2O_SAFE,Talas,,PT,99.7
2015,Annual,National,SH_H2O_SAFE,Talas,,PT,99.2
2016,Annual,National,SH_H2O_SAFE,Talas,,PT,100.0
2017,Annual,National,SH_H2O_SAFE,Talas,,PT,99.4
2018,Annual,National,SH_H2O_SAFE,Talas,,PT,99.4
2011,Annual,National,SH_H2O_SAFE,Chui,,PT,99.6
2012,Annual,National,SH_H2O_SAFE,Chui,,PT,99.8
2013,Annual,National,SH_H2O_SAFE,Chui,,PT,100.0
2014,Annual,National,SH_H2O_SAFE,Chui,,PT,100.0
2015,Annual,National,SH_H2O_SAFE,Chui,,PT,100.0
2016,Annual,National,SH_H2O_SAFE,Chui,,PT,100.0
2017,Annual,National,SH_H2O_SAFE,Chui,,PT,100.0
2018,Annual,National,SH_H2O_SAFE,Chui,,PT,100.0
2011,Annual,National,SH_H2O_SAFE,Bishkek (city),,PT,100.0
2012,Annual,National,SH_H2O_SAFE,Bishkek (city),,PT,100.0
2013,Annual,National,SH_H2O_SAFE,Bishkek (city),,PT,99.8
2014,Annual,National,SH_H2O_SAFE,Bishkek (city),,PT,99.8
2015,Annual,National,SH_H2O_SAFE,Bishkek (city),,PT,100.0
2016,Annual,National,SH_H2O_SAFE,Bishkek (city),,PT,100.0
2017,Annual,National,SH_H2O_SAFE,Bishkek (city),,PT,100.0
2018,Annual,National,SH_H2O_SAFE,Bishkek (city),,PT,100.0
2013,Annual,National,SH_H2O_SAFE,Osh (city),,PT,99.7
2014,Annual,National,SH_H2O_SAFE,Osh (city),,PT,96.5
2015,Annual,National,SH_H2O_SAFE,Osh (city),,PT,96.7
2016,Annual,National,SH_H2O_SAFE,Osh (city),,PT,100.0
2017,Annual,National,SH_H2O_SAFE,Osh (city),,PT,95.7
2018,Annual,National,SH_H2O_SAFE,Osh (city),,PT,96.5
