Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2007,Normal value,Units,Country Data,Annual,National,_L_KG_070B01_1A,,PT,6
2009,Normal value,Units,Country Data,Annual,National,_L_KG_070B01_1A,,PT,100
2010,Normal value,Units,Country Data,Annual,National,_L_KG_070B01_1A,,PT,3
2012,Normal value,Units,Country Data,Annual,National,_L_KG_070B01_1A,,PT,3
2013,Normal value,Units,Country Data,Annual,National,_L_KG_070B01_1A,,PT,1700
2014,Normal value,Units,Country Data,Annual,National,_L_KG_070B01_1A,,PT,800
2015,Normal value,Units,Country Data,Annual,National,_L_KG_070B01_1A,,PT,1000
2016,Normal value,Units,Country Data,Annual,National,_L_KG_070B01_1A,,PT,30
2017,Normal value,Units,Country Data,Annual,National,_L_KG_070B01_1A,,PT,100
2018,Normal value,Units,Country Data,Annual,National,_L_KG_070B01_1A,,PT,0
