Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2010,Normal value,Units,Country Data,Annual,National,_L_KG_081002_2A,,NUMBER,18.0
2011,Normal value,Units,Country Data,Annual,National,_L_KG_081002_2A,,NUMBER,18.0
2012,Normal value,Units,Country Data,Annual,National,_L_KG_081002_2A,,NUMBER,19.0
2013,Normal value,Units,Country Data,Annual,National,_L_KG_081002_2A,,NUMBER,19.0
2014,Normal value,Units,Country Data,Annual,National,_L_KG_081002_2A,,NUMBER,21.0
2015,Normal value,Units,Country Data,Annual,National,_L_KG_081002_2A,,NUMBER,22.0
2016,Normal value,Units,Country Data,Annual,National,_L_KG_081002_2A,,NUMBER,24.0
2017,Normal value,Units,Country Data,Annual,National,_L_KG_081002_2A,,NUMBER,23.0
2018,Normal value,Units,Country Data,Annual,National,_L_KG_081002_2A,,NUMBER,22.0
2010,Normal value,Millions,Country Data,Annual,National,_L_KG_081002_2B,,CUR_LCU,477.2
2011,Normal value,Millions,Country Data,Annual,National,_L_KG_081002_2B,,CUR_LCU,292.9
2012,Normal value,Millions,Country Data,Annual,National,_L_KG_081002_2B,,CUR_LCU,337.8
2013,Normal value,Millions,Country Data,Annual,National,_L_KG_081002_2B,,CUR_LCU,405.4
2014,Normal value,Millions,Country Data,Annual,National,_L_KG_081002_2B,,CUR_LCU,1003.2
2015,Normal value,Millions,Country Data,Annual,National,_L_KG_081002_2B,,CUR_LCU,967.0
2016,Normal value,Millions,Country Data,Annual,National,_L_KG_081002_2B,,CUR_LCU,921.3
2017,Normal value,Millions,Country Data,Annual,National,_L_KG_081002_2B,,CUR_LCU,1004.4
2018,Normal value,Millions,Country Data,Annual,National,_L_KG_081002_2B,,CUR_LCU,1092.7
