Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2012,Normal value,Units,Country Data,*according to the SCITC KR,Annual,National,IT_MOB_2GNTWK,,PT,97.5
2013,Normal value,Units,Country Data,*according to the SCITC KR,Annual,National,IT_MOB_2GNTWK,,PT,97.6
2014,Normal value,Units,Country Data,*according to the SCITC KR,Annual,National,IT_MOB_2GNTWK,,PT,97.7
2015,Normal value,Units,Country Data,*according to the SCITC KR,Annual,National,IT_MOB_2GNTWK,,PT,97.8
2016,Normal value,Units,Country Data,*according to the SCITC KR,Annual,National,IT_MOB_2GNTWK,,PT,99.0
2017,Normal value,Units,Country Data,*according to the SCITC KR,Annual,National,IT_MOB_2GNTWK,,PT,99.1
2018,Normal value,Units,Country Data,*according to the SCITC KR,Annual,National,IT_MOB_2GNTWK,,PT,99.2
2012,Normal value,Units,Country Data,*according to the SCITC KR,Annual,National,IT_MOB_3GNTWK,,PT,46.3
2013,Normal value,Units,Country Data,*according to the SCITC KR,Annual,National,IT_MOB_3GNTWK,,PT,51.0
2014,Normal value,Units,Country Data,*according to the SCITC KR,Annual,National,IT_MOB_3GNTWK,,PT,57.0
2015,Normal value,Units,Country Data,*according to the SCITC KR,Annual,National,IT_MOB_3GNTWK,,PT,59.0
2016,Normal value,Units,Country Data,*according to the SCITC KR,Annual,National,IT_MOB_3GNTWK,,PT,60.0
2017,Normal value,Units,Country Data,*according to the SCITC KR,Annual,National,IT_MOB_3GNTWK,,PT,75.0
2018,Normal value,Units,Country Data,*according to the SCITC KR,Annual,National,IT_MOB_3GNTWK,,PT,88.0
2014,Normal value,Units,Country Data,*according to the SCITC KR,Annual,National,IT_MOB_4GNTWK,,PT,0.5
2015,Normal value,Units,Country Data,*according to the SCITC KR,Annual,National,IT_MOB_4GNTWK,,PT,1.6
2016,Normal value,Units,Country Data,*according to the SCITC KR,Annual,National,IT_MOB_4GNTWK,,PT,40.0
2017,Normal value,Units,Country Data,*according to the SCITC KR,Annual,National,IT_MOB_4GNTWK,,PT,50.0
2018,Normal value,Units,Country Data,*according to the SCITC KR,Annual,National,IT_MOB_4GNTWK,,PT,70.0
