Year,Value,Series
2007,6.1,"Number of commercial bank branches per 100,000 adults"
2008,6.5,"Number of commercial bank branches per 100,000 adults"
2009,6.6,"Number of commercial bank branches per 100,000 adults"
2010,5.7,"Number of commercial bank branches per 100,000 adults"
2011,6.8,"Number of commercial bank branches per 100,000 adults"
2012,7.3,"Number of commercial bank branches per 100,000 adults"
2013,7.4,"Number of commercial bank branches per 100,000 adults"
2014,7.4,"Number of commercial bank branches per 100,000 adults"
2015,7.8,"Number of commercial bank branches per 100,000 adults"
2016,7.9,"Number of commercial bank branches per 100,000 adults"
2017,7.7,"Number of commercial bank branches per 100,000 adults"
2018,7.6,"Number of commercial bank branches per 100,000 adults"
2007,2.5,"Number of automated teller machines (ATMs) per 100,000 adults"
2008,4.9,"Number of automated teller machines (ATMs) per 100,000 adults"
2009,8.7,"Number of automated teller machines (ATMs) per 100,000 adults"
2010,7.6,"Number of automated teller machines (ATMs) per 100,000 adults"
2011,12.3,"Number of automated teller machines (ATMs) per 100,000 adults"
2012,160.0,"Number of automated teller machines (ATMs) per 100,000 adults"
2013,21.1,"Number of automated teller machines (ATMs) per 100,000 adults"
2014,25.3,"Number of automated teller machines (ATMs) per 100,000 adults"
2015,30.8,"Number of automated teller machines (ATMs) per 100,000 adults"
2016,31.9,"Number of automated teller machines (ATMs) per 100,000 adults"
2017,34.2,"Number of automated teller machines (ATMs) per 100,000 adults"
2018,37.7,"Number of automated teller machines (ATMs) per 100,000 adults"
