Year,Частота наблюдений,Тип отчетности,Series,Территория,Тип местности,Units,Сноски для временных рядов,Value
2010,Годовая,Национальный,_L_KG_010101_1A,Киргизия,,PT,,5.3
2011,Годовая,Национальный,_L_KG_010101_1A,Киргизия,,PT,,4.5
2012,Годовая,Национальный,_L_KG_010101_1A,Киргизия,,PT,,4.4
2013,Годовая,Национальный,_L_KG_010101_1A,Киргизия,,PT,,2.8
2014,Годовая,Национальный,_L_KG_010101_1A,Киргизия,,PT,,1.2
2015,Годовая,Национальный,_L_KG_010101_1A,Киргизия,,PT,,1.2
2016,Годовая,Национальный,_L_KG_010101_1A,Киргизия,,PT,,0.8
2017,Годовая,Национальный,_L_KG_010101_1A,Киргизия,,PT,,0.8
2018,Годовая,Национальный,_L_KG_010101_1A,Киргизия,,PT,,0.6
2010,Годовая,Национальный,_L_KG_010101_1A,Киргизия,Городская,PT,,4.2
2011,Годовая,Национальный,_L_KG_010101_1A,Киргизия,Городская,PT,,2.6
2012,Годовая,Национальный,_L_KG_010101_1A,Киргизия,Городская,PT,,4.2
2013,Годовая,Национальный,_L_KG_010101_1A,Киргизия,Городская,PT,,1.6
2014,Годовая,Национальный,_L_KG_010101_1A,Киргизия,Городская,PT,,1.3
2015,Годовая,Национальный,_L_KG_010101_1A,Киргизия,Городская,PT,,1.0
2016,Годовая,Национальный,_L_KG_010101_1A,Киргизия,Городская,PT,,0.3
2017,Годовая,Национальный,_L_KG_010101_1A,Киргизия,Городская,PT,,0.3
2018,Годовая,Национальный,_L_KG_010101_1A,Киргизия,Городская,PT,,0.2
2010,Годовая,Национальный,_L_KG_010101_1A,Киргизия,Сельская,PT,,6.0
2011,Годовая,Национальный,_L_KG_010101_1A,Киргизия,Сельская,PT,,5.7
2012,Годовая,Национальный,_L_KG_010101_1A,Киргизия,Сельская,PT,,4.5
2013,Годовая,Национальный,_L_KG_010101_1A,Киргизия,Сельская,PT,,3.3
2014,Годовая,Национальный,_L_KG_010101_1A,Киргизия,Сельская,PT,,1.1
2015,Годовая,Национальный,_L_KG_010101_1A,Киргизия,Сельская,PT,,1.4
2016,Годовая,Национальный,_L_KG_010101_1A,Киргизия,Сельская,PT,,1.1
2017,Годовая,Национальный,_L_KG_010101_1A,Киргизия,Сельская,PT,,1.0
2018,Годовая,Национальный,_L_KG_010101_1A,Киргизия,Сельская,PT,,0.7
2010,Годовая,Национальный,_L_KG_010101_1A,Баткенская область,,PT,,5.2
2011,Годовая,Национальный,_L_KG_010101_1A,Баткенская область,,PT,,3.6
2012,Годовая,Национальный,_L_KG_010101_1A,Баткенская область,,PT,,2.4
2013,Годовая,Национальный,_L_KG_010101_1A,Баткенская область,,PT,,8.0
2014,Годовая,Национальный,_L_KG_010101_1A,Баткенская область,,PT,,2.6
2015,Годовая,Национальный,_L_KG_010101_1A,Баткенская область,,PT,,4.0
2016,Годовая,Национальный,_L_KG_010101_1A,Баткенская область,,PT,,0.3
2017,Годовая,Национальный,_L_KG_010101_1A,Баткенская область,,PT,,3.4
2018,Годовая,Национальный,_L_KG_010101_1A,Баткенская область,,PT,,0.9
2010,Годовая,Национальный,_L_KG_010101_1A,Джалал-Абадская область,,PT,,6.4
2011,Годовая,Национальный,_L_KG_010101_1A,Джалал-Абадская область,,PT,,6.7
2012,Годовая,Национальный,_L_KG_010101_1A,Джалал-Абадская область,,PT,,14.1
2013,Годовая,Национальный,_L_KG_010101_1A,Джалал-Абадская область,,PT,,1.4
2014,Годовая,Национальный,_L_KG_010101_1A,Джалал-Абадская область,,PT,,1.1
2015,Годовая,Национальный,_L_KG_010101_1A,Джалал-Абадская область,,PT,,0.5
2016,Годовая,Национальный,_L_KG_010101_1A,Джалал-Абадская область,,PT,,0.1
2017,Годовая,Национальный,_L_KG_010101_1A,Джалал-Абадская область,,PT,,0.0
2018,Годовая,Национальный,_L_KG_010101_1A,Джалал-Абадская область,,PT,,1.0
2010,Годовая,Национальный,_L_KG_010101_1A,Иссык-Кульская область,,PT,,2.5
2011,Годовая,Национальный,_L_KG_010101_1A,Иссык-Кульская область,,PT,,1.5
2012,Годовая,Национальный,_L_KG_010101_1A,Иссык-Кульская область,,PT,,0.1
2013,Годовая,Национальный,_L_KG_010101_1A,Иссык-Кульская область,,PT,,1.9
2014,Годовая,Национальный,_L_KG_010101_1A,Иссык-Кульская область,,PT,,0.0
2015,Годовая,Национальный,_L_KG_010101_1A,Иссык-Кульская область,,PT,,0.4
2016,Годовая,Национальный,_L_KG_010101_1A,Иссык-Кульская область,,PT,,0.0
2017,Годовая,Национальный,_L_KG_010101_1A,Иссык-Кульская область,,PT,,1.0
2018,Годовая,Национальный,_L_KG_010101_1A,Иссык-Кульская область,,PT,,0.9
2010,Годовая,Национальный,_L_KG_010101_1A,Нарынская область,,PT,,12.0
2011,Годовая,Национальный,_L_KG_010101_1A,Нарынская область,,PT,,14.7
2012,Годовая,Национальный,_L_KG_010101_1A,Нарынская область,,PT,,2.5
2013,Годовая,Национальный,_L_KG_010101_1A,Нарынская область,,PT,,4.9
2014,Годовая,Национальный,_L_KG_010101_1A,Нарынская область,,PT,,1.8
2015,Годовая,Национальный,_L_KG_010101_1A,Нарынская область,,PT,,2.1
2016,Годовая,Национальный,_L_KG_010101_1A,Нарынская область,,PT,,2.6
2017,Годовая,Национальный,_L_KG_010101_1A,Нарынская область,,PT,,2.0
2018,Годовая,Национальный,_L_KG_010101_1A,Нарынская область,,PT,,2.2
2010,Годовая,Национальный,_L_KG_010101_1A,Ошская область,,PT,until 2013 y. including Osh city,8.3
2011,Годовая,Национальный,_L_KG_010101_1A,Ошская область,,PT,until 2013 y. including Osh city,3.7
2012,Годовая,Национальный,_L_KG_010101_1A,Ошская область,,PT,until 2013 y. including Osh city,2.3
2013,Годовая,Национальный,_L_KG_010101_1A,Ошская область,,PT,until 2013 y. including Osh city,4.0
2014,Годовая,Национальный,_L_KG_010101_1A,Ошская область,,PT,until 2013 y. including Osh city,0.4
2015,Годовая,Национальный,_L_KG_010101_1A,Ошская область,,PT,until 2013 y. including Osh city,1.2
2016,Годовая,Национальный,_L_KG_010101_1A,Ошская область,,PT,until 2013 y. including Osh city,0.8
2017,Годовая,Национальный,_L_KG_010101_1A,Ошская область,,PT,until 2013 y. including Osh city,0.0
2018,Годовая,Национальный,_L_KG_010101_1A,Ошская область,,PT,until 2013 y. including Osh city,0.0
2010,Годовая,Национальный,_L_KG_010101_1A,Таласская область,,PT,,5.0
2011,Годовая,Национальный,_L_KG_010101_1A,Таласская область,,PT,,8.4
2012,Годовая,Национальный,_L_KG_010101_1A,Таласская область,,PT,,0.9
2013,Годовая,Национальный,_L_KG_010101_1A,Таласская область,,PT,,0.0
2014,Годовая,Национальный,_L_KG_010101_1A,Таласская область,,PT,,0.0
2015,Годовая,Национальный,_L_KG_010101_1A,Таласская область,,PT,,0.0
2016,Годовая,Национальный,_L_KG_010101_1A,Таласская область,,PT,,0.0
2017,Годовая,Национальный,_L_KG_010101_1A,Таласская область,,PT,,0.0
2018,Годовая,Национальный,_L_KG_010101_1A,Таласская область,,PT,,0.0
2010,Годовая,Национальный,_L_KG_010101_1A,Чуйская область,,PT,,3.5
2011,Годовая,Национальный,_L_KG_010101_1A,Чуйская область,,PT,,4.9
2012,Годовая,Национальный,_L_KG_010101_1A,Чуйская область,,PT,,3.9
2013,Годовая,Национальный,_L_KG_010101_1A,Чуйская область,,PT,,2.1
