Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Тип местности,Вид экономической деятельности,Units,Value
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,,PT,23.0
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,,PT,18.3
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,,PT,18.0
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,,PT,15.5
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,Мужчины,,,,PT,24.6
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,Мужчины,,,,PT,19.7
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,Мужчины,,,,PT,20.0
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,Мужчины,,,,PT,16.6
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,Женщины,,,,PT,20.6
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,Женщины,,,,PT,16.0
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,Женщины,,,,PT,14.8
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,Женщины,,,,PT,13.6
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 15 до 19 лет ,,,PT,23.7
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 15 до 19 лет ,,,PT,19.0
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 15 до 19 лет ,,,PT,14.7
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 15 до 19 лет ,,,PT,12.6
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 20 до 24 лет,,,PT,19.9
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 20 до 24 лет,,,PT,18.0
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 20 до 24 лет,,,PT,13.9
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 20 до 24 лет,,,PT,10.7
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 25 до 29 лет,,,PT,20.9
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 25 до 29 лет,,,PT,17.5
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 25 до 29 лет,,,PT,18.5
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 25 до 29 лет,,,PT,15.8
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 30 до 34 лет ,,,PT,31.9
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 30 до 34 лет ,,,PT,22.5
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 30 до 34 лет ,,,PT,22.9
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 30 до 34 лет ,,,PT,18.4
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 35 до 39 лет,,,PT,33.4
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 35 до 39 лет,,,PT,27.6
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 35 до 39 лет,,,PT,26.4
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 35 до 39 лет,,,PT,23.4
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 40 до 44 лет ,,,PT,27.5
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 40 до 44 лет ,,,PT,20.1
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 40 до 44 лет ,,,PT,21.8
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 40 до 44 лет ,,,PT,18.5
