Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),пол,Возраст,Степень урбанизации,Unit of measure,Value
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,,Процент,50.2
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,,Процент,50.5
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,,Процент,45.8
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,мужской,,,Процент,50.3
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,мужской,,,Процент,50.3
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,мужской,,,Процент,45.8
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,женский,,,Процент,50.1
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,женский,,,Процент,50.6
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,женский,,,Процент,45.9
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,under 18 years old,,Процент,59.7
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,under 18 years old,,Процент,60.0
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,under 18 years old,,Процент,56.0
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,65 years old and over,,Процент,49.2
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,65 years old and over,,Процент,46.4
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,65 years old and over,,Процент,38.6
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,городская местность,Процент,36.9
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,городская местность,Процент,38.7
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,городская местность,Процент,33.8
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,сельская местность,Процент,57.4
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,сельская местность,Процент,56.8
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,сельская местность,Процент,52.4
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Баткенская область,,,,Процент,64.9
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Баткенская область,,,,Процент,66.0
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Баткенская область,,,,Процент,64.8
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Жалал-Абад область,,,,Процент,59.6
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Жалал-Абад область,,,,Процент,61.5
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Жалал-Абад область,,,,Процент,53.8
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Иссык-Кульская область,,,,Процент,45.2
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Иссык-Кульская область,,,,Процент,47.0
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Иссык-Кульская область,,,,Процент,42.7
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Нарынская область,,,,Процент,58.3
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Нарынская область,,,,Процент,50.0
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Нарынская область,,,,Процент,48.5
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Ошская область,,,,Процент,57.5
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Ошская область,,,,Процент,52.1
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Ошская область,,,,Процент,58.5
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Таласская область,,,,Процент,49.8
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Таласская область,,,,Процент,39.8
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Таласская область,,,,Процент,43.0
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Чуйская область,,,,Процент,45.4
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Чуйская область,,,,Процент,48.7
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Чуйская область,,,,Процент,28.0
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,г. Бишкек,,,,Процент,26.8
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,г. Бишкек,,,,Процент,29.9
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,г. Бишкек,,,,Процент,25.4
2016,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,г. Ош,,,,Процент,47.3
2017,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,г. Ош,,,,Процент,58.6
2018,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,г. Ош,,,,Процент,51.3
