Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2007,Годовая,Национальный,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек",Киргизия,Процент,313220.0
2008,Годовая,Национальный,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек",Киргизия,Процент,349682.0
2009,Годовая,Национальный,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек",Киргизия,Процент,274008.0
2010,Годовая,Национальный,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек",Киргизия,Процент,282009.0
2011,Годовая,Национальный,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек",Киргизия,Процент,136292.0
2012,Годовая,Национальный,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек",Киргизия,Процент,77413.0
2013,Годовая,Национальный,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек",Киргизия,Процент,180254.0
2014,Годовая,Национальный,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек",Киргизия,Процент,152940.0
2015,Годовая,Национальный,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек",Киргизия,Процент,132336.0
2016,Годовая,Национальный,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек",Киргизия,Процент,142943.0
2017,Годовая,Национальный,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек",Киргизия,Процент,135927.0
2018,Годовая,Национальный,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек",Киргизия,Процент,138265.0
2007,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",Киргизия,Процент,5.968864
2008,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",Киргизия,Процент,6.611241
2009,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",Киргизия,Процент,5.109427
2010,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",Киргизия,Процент,5.204752
2011,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",Киргизия,Процент,2.488161
2012,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",Киргизия,Процент,1.394354
2013,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",Киргизия,Процент,3.120433
2014,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",Киргизия,Процент,2.594375
2015,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",Киргизия,Процент,2.198462
2016,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",Киргизия,Процент,2.327986
2017,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",Киргизия,Процент,2.172493
2018,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",Киргизия,Процент,2.163941
2007,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",Киргизия,Процент,59.241298
2008,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",Киргизия,Процент,61.233202
2009,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",Киргизия,Процент,48.534186
2010,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",Киргизия,Процент,49.060743
2011,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",Киргизия,Процент,22.957535
2012,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",Киргизия,Процент,12.62552
2013,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",Киргизия,Процент,28.824314
2014,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",Киргизия,Процент,24.113102
2015,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",Киргизия,Процент,20.458403
2016,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",Киргизия,Процент,21.618658
2017,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",Киргизия,Процент,20.190277
2018,Годовая,Национальный," Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",Киргизия,Процент,19.898854
