Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),пол,Степень урбанизации,Unit of measure,Value
2015,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,Процент,1.6
2016,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,Процент,2.3
2017,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,Процент,2.4
2018,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,Процент,2.6
2015,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,городская местность,Процент,1.6
2016,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,городская местность,Процент,0.8
2017,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,городская местность,Процент,0.8
2018,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,городская местность,Процент,1.0
2015,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,сельская местность,Процент,1.5
2016,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,сельская местность,Процент,3.0
2017,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,сельская местность,Процент,3.3
2018,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,сельская местность,Процент,3.5
2015,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,мужской,,Процент,1.5
2016,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,мужской,,Процент,2.3
2017,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,мужской,,Процент,2.5
2018,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,мужской,,Процент,2.7
2015,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,женский,,Процент,1.6
2016,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,женский,,Процент,2.2
2017,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,женский,,Процент,2.3
2018,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,женский,,Процент,2.6
2016,Annual,National,Proportion of people living below 50 percent of median income,Баткенская область,,,Процент,3.0
2017,Annual,National,Proportion of people living below 50 percent of median income,Баткенская область,,,Процент,7.4
2018,Annual,National,Proportion of people living below 50 percent of median income,Баткенская область,,,Процент,8.5
2016,Annual,National,Proportion of people living below 50 percent of median income,Жалал-Абад область,,,Процент,1.3
2017,Annual,National,Proportion of people living below 50 percent of median income,Жалал-Абад область,,,Процент,1.3
2018,Annual,National,Proportion of people living below 50 percent of median income,Жалал-Абад область,,,Процент,3.4
2016,Annual,National,Proportion of people living below 50 percent of median income,Иссык-Кульская область,,,Процент,1.8
2017,Annual,National,Proportion of people living below 50 percent of median income,Иссык-Кульская область,,,Процент,3.3
2018,Annual,National,Proportion of people living below 50 percent of median income,Иссык-Кульская область,,,Процент,3.9
2016,Annual,National,Proportion of people living below 50 percent of median income,Нарынская область,,,Процент,5.6
2017,Annual,National,Proportion of people living below 50 percent of median income,Нарынская область,,,Процент,5.3
2018,Annual,National,Proportion of people living below 50 percent of median income,Нарынская область,,,Процент,6.5
2016,Annual,National,Proportion of people living below 50 percent of median income,Ошская область,,,Процент,2.0
2017,Annual,National,Proportion of people living below 50 percent of median income,Ошская область,,,Процент,0.6
2018,Annual,National,Proportion of people living below 50 percent of median income,Ошская область,,,Процент,0.7
2016,Annual,National,Proportion of people living below 50 percent of median income,Таласская область,,,Процент,0.6
2017,Annual,National,Proportion of people living below 50 percent of median income,Таласская область,,,Процент,0.6
2018,Annual,National,Proportion of people living below 50 percent of median income,Таласская область,,,Процент,2.4
2016,Annual,National,Proportion of people living below 50 percent of median income,Чуйская область,,,Процент,6.2
2017,Annual,National,Proportion of people living below 50 percent of median income,Чуйская область,,,Процент,5.1
2018,Annual,National,Proportion of people living below 50 percent of median income,Чуйская область,,,Процент,1.6
2016,Annual,National,Proportion of people living below 50 percent of median income,г. Бишкек,,,Процент,0.0
2017,Annual,National,Proportion of people living below 50 percent of median income,г. Бишкек,,,Процент,0.7
2018,Annual,National,Proportion of people living below 50 percent of median income,г. Бишкек,,,Процент,0.6
2016,Annual,National,Proportion of people living below 50 percent of median income,г. Ош,,,Процент,0.0
2017,Annual,National,Proportion of people living below 50 percent of median income,г. Ош,,,Процент,1.2
2018,Annual,National,Proportion of people living below 50 percent of median income,г. Ош,,,Процент,2.5
