Year,Frequency of observation,Reporting type,Series,Справочная зона (условная зона),пол,Степень урбанизации,Уровень образования,Units,Value
2018,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,Процент,48.5
2018,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,городская местность,,Процент,66.0
2018,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,сельская местность,,Процент,38.1
2018,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,мужской,,,Процент,47.9
2018,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,женский,,,Процент,49.0
2018,Annual,National,Proportion of population that has convenient access to public transport,Баткенская область,,,,Процент,32.9
2018,Annual,National,Proportion of population that has convenient access to public transport,Жалал-Абад область,,,,Процент,18.3
2018,Annual,National,Proportion of population that has convenient access to public transport,Иссык-Кульская область,,,,Процент,72.5
2018,Annual,National,Proportion of population that has convenient access to public transport,Нарынская область,,,,Процент,39.3
2018,Annual,National,Proportion of population that has convenient access to public transport,Ошская область,,,,Процент,39.6
2018,Annual,National,Proportion of population that has convenient access to public transport,Таласская область,,,,Процент,42.2
2018,Annual,National,Proportion of population that has convenient access to public transport,Чуйская область,,,,Процент,63.1
2018,Annual,National,Proportion of population that has convenient access to public transport,г. Бишкек,,,,Процент,67.7
2018,Annual,National,Proportion of population that has convenient access to public transport,г. Ош,,,,Процент,94.6
2018,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,Начальное образование (1-4 классы),Процент,48.2
2018,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,1- этап среднего образования,Процент,51.2
2018,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,2- этап среднего образования,Процент,42.7
2018,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,Послесреднее нетретичное образование,Процент,55.4
2018,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,Short-cycle tertiary education,Процент,56.0
