Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),Unit of measure,Value
2007,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Процент,0.102468
2008,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Процент,0.657422
2009,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Процент,0.037073
2010,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Процент,0.234561
2011,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Процент,0.328649
2012,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Процент,0.297902
2013,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Процент,0.062089
2014,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Процент,0.113728
2015,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Процент,0.532092
2016,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Процент,0.21124
2017,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Процент,0.193675
2018,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Процент,0.218017
2007,Annual,National,Direct economic loss attributed to disasters relative to GDP,Баткенская область,Процент,0.358951
2008,Annual,National,Direct economic loss attributed to disasters relative to GDP,Баткенская область,Процент,2.126272
2009,Annual,National,Direct economic loss attributed to disasters relative to GDP,Баткенская область,Процент,0.403899
2010,Annual,National,Direct economic loss attributed to disasters relative to GDP,Баткенская область,Процент,0.333138
2011,Annual,National,Direct economic loss attributed to disasters relative to GDP,Баткенская область,Процент,4.307812
2012,Annual,National,Direct economic loss attributed to disasters relative to GDP,Баткенская область,Процент,1.956574
2013,Annual,National,Direct economic loss attributed to disasters relative to GDP,Баткенская область,Процент,0.02969
2014,Annual,National,Direct economic loss attributed to disasters relative to GDP,Баткенская область,Процент,0.25113
2015,Annual,National,Direct economic loss attributed to disasters relative to GDP,Баткенская область,Процент,3.438047
2016,Annual,National,Direct economic loss attributed to disasters relative to GDP,Баткенская область,Процент,2.2105
2017,Annual,National,Direct economic loss attributed to disasters relative to GDP,Баткенская область,Процент,0.753563
2018,Annual,National,Direct economic loss attributed to disasters relative to GDP,Баткенская область,Процент,1.04
2007,Annual,National,Direct economic loss attributed to disasters relative to GDP,Жалал-Абад область,Процент,0.412118
2008,Annual,National,Direct economic loss attributed to disasters relative to GDP,Жалал-Абад область,Процент,0.136994
2009,Annual,National,Direct economic loss attributed to disasters relative to GDP,Жалал-Абад область,Процент,0.015857
2010,Annual,National,Direct economic loss attributed to disasters relative to GDP,Жалал-Абад область,Процент,1.154719
2011,Annual,National,Direct economic loss attributed to disasters relative to GDP,Жалал-Абад область,Процент,0.453264
2012,Annual,National,Direct economic loss attributed to disasters relative to GDP,Жалал-Абад область,Процент,1.016425
2013,Annual,National,Direct economic loss attributed to disasters relative to GDP,Жалал-Абад область,Процент,0.101309
2014,Annual,National,Direct economic loss attributed to disasters relative to GDP,Жалал-Абад область,Процент,0.072479
2015,Annual,National,Direct economic loss attributed to disasters relative to GDP,Жалал-Абад область,Процент,0.172868
2016,Annual,National,Direct economic loss attributed to disasters relative to GDP,Жалал-Абад область,Процент,0.441517
2017,Annual,National,Direct economic loss attributed to disasters relative to GDP,Жалал-Абад область,Процент,0.196222
2018,Annual,National,Direct economic loss attributed to disasters relative to GDP,Жалал-Абад область,Процент,0.11
2007,Annual,National,Direct economic loss attributed to disasters relative to GDP,Иссык-Кульская область,Процент,0.003239
2008,Annual,National,Direct economic loss attributed to disasters relative to GDP,Иссык-Кульская область,Процент,0.003293
2009,Annual,National,Direct economic loss attributed to disasters relative to GDP,Иссык-Кульская область,Процент,0.034457
2010,Annual,National,Direct economic loss attributed to disasters relative to GDP,Иссык-Кульская область,Процент,0.001692
2011,Annual,National,Direct economic loss attributed to disasters relative to GDP,Иссык-Кульская область,Процент,0.012271
2012,Annual,National,Direct economic loss attributed to disasters relative to GDP,Иссык-Кульская область,Процент,0.112102
2013,Annual,National,Direct economic loss attributed to disasters relative to GDP,Иссык-Кульская область,Процент,0.148306
