Year,Frequency of observation,Reporting type,Series,Справочная зона (условная зона),Композитная разбивка,Units,Value
2010,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,,Местная валюта,576.9
2011,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,,Местная валюта,587.5
2012,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,,Местная валюта,526.0
2013,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,,Местная валюта,561.9
2014,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,,Местная валюта,665.9
2015,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,,Местная валюта,810.1
2016,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,,Местная валюта,934.5
2017,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,,Местная валюта,921.5
2018,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,,Местная валюта,962.4
2010,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Pollution control,Местная валюта,39.2
2011,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Pollution control,Местная валюта,41.2
2012,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Pollution control,Местная валюта,28.2
2013,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Pollution control,Местная валюта,22.4
2014,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Pollution control,Местная валюта,56.2
2015,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Pollution control,Местная валюта,71.5
2016,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Pollution control,Местная валюта,60.4
2017,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Pollution control,Местная валюта,52.7
2018,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Pollution control,Местная валюта,64.1
2010,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Nature parks and reserves,Местная валюта,69.1
2011,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Nature parks and reserves,Местная валюта,68.5
2012,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Nature parks and reserves,Местная валюта,73.2
2013,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Nature parks and reserves,Местная валюта,80.9
2014,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Nature parks and reserves,Местная валюта,93.3
2015,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Nature parks and reserves,Местная валюта,114.1
2016,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Nature parks and reserves,Местная валюта,145.8
2017,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Nature parks and reserves,Местная валюта,131.7
2018,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Nature parks and reserves,Местная валюта,136.5
2010,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Animal protection,Местная валюта,3.6
2011,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Animal protection,Местная валюта,6.8
2012,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Animal protection,Местная валюта,4.9
2013,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Animal protection,Местная валюта,6.5
2014,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Animal protection,Местная валюта,8.4
2015,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Animal protection,Местная валюта,9.4
2016,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Animal protection,Местная валюта,10.4
2017,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Animal protection,Местная валюта,9.8
2018,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Animal protection,Местная валюта,10.4
2010,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Plant protection,Местная валюта,1.4
2011,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Plant protection,Местная валюта,1.3
2012,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Plant protection,Местная валюта,1.3
2013,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Plant protection,Местная валюта,1.2
2014,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Plant protection,Местная валюта,1.6
2015,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Plant protection,Местная валюта,1.5
2016,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Plant protection,Местная валюта,1.5
2010,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Anti-epizootic measures,Местная валюта,29.6
2011,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Anti-epizootic measures,Местная валюта,36.4
2012,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Anti-epizootic measures,Местная валюта,26.6
2013,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Anti-epizootic measures,Местная валюта,63.2
2014,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Anti-epizootic measures,Местная валюта,61.2
2015,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Anti-epizootic measures,Местная валюта,46.6
2016,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Anti-epizootic measures,Местная валюта,109.3
2017,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Anti-epizootic measures,Местная валюта,105.6
2018,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Anti-epizootic measures,Местная валюта,153.6
2010,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Veterinary diagnostics,Местная валюта,190.9
2011,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Veterinary diagnostics,Местная валюта,190.1
2012,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Veterinary diagnostics,Местная валюта,158.7
2013,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Veterinary diagnostics,Местная валюта,90.9
2014,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Veterinary diagnostics,Местная валюта,109.3
2015,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Veterinary diagnostics,Местная валюта,107.2
2016,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Veterinary diagnostics,Местная валюта,150.8
2017,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Veterinary diagnostics,Местная валюта,134.6
