Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2007,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Киргизия,Процент,12.682241
2008,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Киргизия,Процент,11.85677
2009,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Киргизия,Процент,11.505973
2010,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Киргизия,Процент,10.442468
2011,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Киргизия,Процент,11.743119
2012,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Киргизия,Процент,11.831386
2013,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Киргизия,Процент,12.209281
2014,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Киргизия,Процент,11.581086
2015,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Киргизия,Процент,10.209622
2016,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Киргизия,Процент,10.170663
2017,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Киргизия,Процент,9.727135
2018,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Киргизия,Процент,20.734908
2007,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Баткенская область,Процент,14.521452
2008,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Баткенская область,Процент,16.4
2009,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Баткенская область,Процент,14.425428
2010,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Баткенская область,Процент,14.469914
2011,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Баткенская область,Процент,13.604488
2012,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Баткенская область,Процент,11.659808
2013,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Баткенская область,Процент,10.513141
