Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),Unit of measure,Value
2015,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Kyrgyzstan,Index,10.810627
2016,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Kyrgyzstan,Index,16.102629
2017,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Kyrgyzstan,Index,20.2
2018,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Kyrgyzstan,Index,12.4
2019,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Kyrgyzstan,Index,14.10991
2015,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Баткенская область,Index,34.216964
2016,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Баткенская область,Index,51.97171
2017,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Баткенская область,Index,50.7
2018,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Баткенская область,Index,44.9
2019,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Баткенская область,Index,37.375177
2015,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Жалал-Абад область,Index,30.828434
2016,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Жалал-Абад область,Index,35.669135
2017,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Жалал-Абад область,Index,31.6
2018,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Жалал-Абад область,Index,28.9
2019,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Жалал-Абад область,Index,40.75486
2015,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Иссык-Кульская область,Index,-8.771443
2016,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Иссык-Кульская область,Index,19.590714
2017,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Иссык-Кульская область,Index,25.6
2018,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Иссык-Кульская область,Index,16.6
2019,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Иссык-Кульская область,Index,45.71014
2015,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Нарынская область,Index,-5.438854
2016,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Нарынская область,Index,-3.700551
2017,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Нарынская область,Index,16.3
2018,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Нарынская область,Index,5.4
2019,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Нарынская область,Index,24.570798
