Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Units,Value
2014,Годовая,Национальный,_L_KG_160501_1B1,Киргизия,,NUMBER,378
2015,Годовая,Национальный,_L_KG_160501_1B1,Киргизия,,NUMBER,336
2016,Годовая,Национальный,_L_KG_160501_1B1,Киргизия,,NUMBER,351
2017,Годовая,Национальный,_L_KG_160501_1B1,Киргизия,,NUMBER,234
2018,Годовая,Национальный,_L_KG_160501_1B1,Киргизия,,NUMBER,342
2014,Годовая,Национальный,_L_KG_160501_1B2,Киргизия,,NUMBER,62
2015,Годовая,Национальный,_L_KG_160501_1B2,Киргизия,,NUMBER,69
2016,Годовая,Национальный,_L_KG_160501_1B2,Киргизия,,NUMBER,72
2017,Годовая,Национальный,_L_KG_160501_1B2,Киргизия,,NUMBER,52
2018,Годовая,Национальный,_L_KG_160501_1B2,Киргизия,,NUMBER,56
2014,Годовая,Национальный,_L_KG_160501_1B1,Киргизия,Мужчины,NUMBER,323
2015,Годовая,Национальный,_L_KG_160501_1B1,Киргизия,Мужчины,NUMBER,278
2016,Годовая,Национальный,_L_KG_160501_1B1,Киргизия,Мужчины,NUMBER,286
2017,Годовая,Национальный,_L_KG_160501_1B1,Киргизия,Мужчины,NUMBER,196
2018,Годовая,Национальный,_L_KG_160501_1B1,Киргизия,Мужчины,NUMBER,297
2014,Годовая,Национальный,_L_KG_160501_1B2,Киргизия,Мужчины,NUMBER,57
2015,Годовая,Национальный,_L_KG_160501_1B2,Киргизия,Мужчины,NUMBER,65
2016,Годовая,Национальный,_L_KG_160501_1B2,Киргизия,Мужчины,NUMBER,61
2017,Годовая,Национальный,_L_KG_160501_1B2,Киргизия,Мужчины,NUMBER,44
2018,Годовая,Национальный,_L_KG_160501_1B2,Киргизия,Мужчины,NUMBER,53
2014,Годовая,Национальный,_L_KG_160501_1B1,Киргизия,Женщины,NUMBER,55
2015,Годовая,Национальный,_L_KG_160501_1B1,Киргизия,Женщины,NUMBER,58
2016,Годовая,Национальный,_L_KG_160501_1B1,Киргизия,Женщины,NUMBER,65
2017,Годовая,Национальный,_L_KG_160501_1B1,Киргизия,Женщины,NUMBER,38
2018,Годовая,Национальный,_L_KG_160501_1B1,Киргизия,Женщины,NUMBER,45
2014,Годовая,Национальный,_L_KG_160501_1B2,Киргизия,Женщины,NUMBER,5
2015,Годовая,Национальный,_L_KG_160501_1B2,Киргизия,Женщины,NUMBER,4
2016,Годовая,Национальный,_L_KG_160501_1B2,Киргизия,Женщины,NUMBER,11
2017,Годовая,Национальный,_L_KG_160501_1B2,Киргизия,Женщины,NUMBER,8
2018,Годовая,Национальный,_L_KG_160501_1B2,Киргизия,Женщины,NUMBER,3
