Year,Frequency of observation,Reporting type,Series,Справочная зона (условная зона),Units,Value
2015,Annual,National,Executive branch of the government satisfaction index,Kyrgyzstan,Index,235
2016,Annual,National,Executive branch of the government satisfaction index,Kyrgyzstan,Index,285
2017,Annual,National,Executive branch of the government satisfaction index,Kyrgyzstan,Index,311
2018,Annual,National,Executive branch of the government satisfaction index,Kyrgyzstan,Index,273
2019,"Half-yearly, semester",National,Executive branch of the government satisfaction index,Kyrgyzstan,Index,273
2015,Annual,National,Executive branch of the government satisfaction index,Баткенская область,Index,294
2016,Annual,National,Executive branch of the government satisfaction index,Баткенская область,Index,479
2017,Annual,National,Executive branch of the government satisfaction index,Баткенская область,Index,462
2018,Annual,National,Executive branch of the government satisfaction index,Баткенская область,Index,426
2019,"Half-yearly, semester",National,Executive branch of the government satisfaction index,Баткенская область,Index,400
2015,Annual,National,Executive branch of the government satisfaction index,г. Бишкек,Index,436
2016,Annual,National,Executive branch of the government satisfaction index,г. Бишкек,Index,372
2017,Annual,National,Executive branch of the government satisfaction index,г. Бишкек,Index,354
2018,Annual,National,Executive branch of the government satisfaction index,г. Бишкек,Index,327
2019,"Half-yearly, semester",National,Executive branch of the government satisfaction index,г. Бишкек,Index,360
2015,Annual,National,Executive branch of the government satisfaction index,Чуйская область,Index,-15
2016,Annual,National,Executive branch of the government satisfaction index,Чуйская область,Index,166
2017,Annual,National,Executive branch of the government satisfaction index,Чуйская область,Index,295
2018,Annual,National,Executive branch of the government satisfaction index,Чуйская область,Index,195
2019,"Half-yearly, semester",National,Executive branch of the government satisfaction index,Чуйская область,Index,252
2015,Annual,National,Executive branch of the government satisfaction index,Иссык-Кульская область,Index,206
2016,Annual,National,Executive branch of the government satisfaction index,Иссык-Кульская область,Index,199
2017,Annual,National,Executive branch of the government satisfaction index,Иссык-Кульская область,Index,285
2018,Annual,National,Executive branch of the government satisfaction index,Иссык-Кульская область,Index,307
2019,"Half-yearly, semester",National,Executive branch of the government satisfaction index,Иссык-Кульская область,Index,375
2015,Annual,National,Executive branch of the government satisfaction index,Жалал-Абад область,Index,343
2016,Annual,National,Executive branch of the government satisfaction index,Жалал-Абад область,Index,309
2017,Annual,National,Executive branch of the government satisfaction index,Жалал-Абад область,Index,327
2018,Annual,National,Executive branch of the government satisfaction index,Жалал-Абад область,Index,279
2019,"Half-yearly, semester",National,Executive branch of the government satisfaction index,Жалал-Абад область,Index,307
2015,Annual,National,Executive branch of the government satisfaction index,Нарынская область,Index,364
2016,Annual,National,Executive branch of the government satisfaction index,Нарынская область,Index,341
2017,Annual,National,Executive branch of the government satisfaction index,Нарынская область,Index,312
2018,Annual,National,Executive branch of the government satisfaction index,Нарынская область,Index,341
2019,"Half-yearly, semester",National,Executive branch of the government satisfaction index,Нарынская область,Index,355
2015,Annual,National,Executive branch of the government satisfaction index,Ошская область,Index,314
2016,Annual,National,Executive branch of the government satisfaction index,Ошская область,Index,256
2017,Annual,National,Executive branch of the government satisfaction index,Ошская область,Index,385
2018,Annual,National,Executive branch of the government satisfaction index,Ошская область,Index,355
2019,"Half-yearly, semester",National,Executive branch of the government satisfaction index,Ошская область,Index,325
2015,Annual,National,Executive branch of the government satisfaction index,г. Ош,Index,96
2016,Annual,National,Executive branch of the government satisfaction index,г. Ош,Index,126
2017,Annual,National,Executive branch of the government satisfaction index,г. Ош,Index,163
2018,Annual,National,Executive branch of the government satisfaction index,г. Ош,Index,129
2019,"Half-yearly, semester",National,Executive branch of the government satisfaction index,г. Ош,Index,113
2015,Annual,National,Executive branch of the government satisfaction index,Таласская область,Index,169
2016,Annual,National,Executive branch of the government satisfaction index,Таласская область,Index,408
2017,Annual,National,Executive branch of the government satisfaction index,Таласская область,Index,429
2018,Annual,National,Executive branch of the government satisfaction index,Таласская область,Index,383
2019,"Half-yearly, semester",National,Executive branch of the government satisfaction index,Таласская область,Index,366
