Year,Частота наблюдений,Тип отчетности,Series,Территория,Вид экономической деятельности,Units,Value
2008,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,,На 1000 долларов США,866200.6
2009,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,,На 1000 долларов США,660949.3
2010,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,,На 1000 долларов США,666086.0
2011,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,,На 1000 долларов США,849201.1
2012,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,,На 1000 долларов США,590733.3
2013,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,,На 1000 долларов США,964507.1
2014,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,,На 1000 долларов США,727091.2
2015,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,,На 1000 долларов США,1573243.7
2016,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,,На 1000 долларов США,813960.7
2017,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,,На 1000 долларов США,616793.1
2018,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,,На 1000 долларов США,851743.6
2008,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Сельское хозяйство, лесоводство и рыболовство",На 1000 долларов США,583.5904
2009,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Сельское хозяйство, лесоводство и рыболовство",На 1000 долларов США,17.6
2010,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Сельское хозяйство, лесоводство и рыболовство",На 1000 долларов США,2.7
2011,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Сельское хозяйство, лесоводство и рыболовство",На 1000 долларов США,3.5
2012,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Сельское хозяйство, лесоводство и рыболовство",На 1000 долларов США,2045.7
2013,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Сельское хозяйство, лесоводство и рыболовство",На 1000 долларов США,345.0
2015,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Сельское хозяйство, лесоводство и рыболовство",На 1000 долларов США,316.2
2016,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Сельское хозяйство, лесоводство и рыболовство",На 1000 долларов США,210.9
2017,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Сельское хозяйство, лесоводство и рыболовство",На 1000 долларов США,21.8
2018,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Сельское хозяйство, лесоводство и рыболовство",На 1000 долларов США,2327.6
2008,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Горнодобывающая промышленность и разработка карьеров,На 1000 долларов США,7500.0
2009,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Горнодобывающая промышленность и разработка карьеров,На 1000 долларов США,6375.7
2010,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Горнодобывающая промышленность и разработка карьеров,На 1000 долларов США,1028.4
2011,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Горнодобывающая промышленность и разработка карьеров,На 1000 долларов США,26460.8
2012,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Горнодобывающая промышленность и разработка карьеров,На 1000 долларов США,25677.7
2013,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Горнодобывающая промышленность и разработка карьеров,На 1000 долларов США,23151.8
2014,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Горнодобывающая промышленность и разработка карьеров,На 1000 долларов США,74973.3
2015,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Горнодобывающая промышленность и разработка карьеров,На 1000 долларов США,14727.5
2016,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Горнодобывающая промышленность и разработка карьеров,На 1000 долларов США,54302.3
2017,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Горнодобывающая промышленность и разработка карьеров,На 1000 долларов США,80995.2
2018,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Горнодобывающая промышленность и разработка карьеров,На 1000 долларов США,91845.7
2008,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Обрабатывающая промышленность,На 1000 долларов США,237437.7
2009,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Обрабатывающая промышленность,На 1000 долларов США,153569.3
2010,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Обрабатывающая промышленность,На 1000 долларов США,331386.7
2011,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Обрабатывающая промышленность,На 1000 долларов США,489551.4
2012,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Обрабатывающая промышленность,На 1000 долларов США,257259.1
2013,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Обрабатывающая промышленность,На 1000 долларов США,317742.6
2014,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Обрабатывающая промышленность,На 1000 долларов США,271250.0
2015,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Обрабатывающая промышленность,На 1000 долларов США,564715.3
2016,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Обрабатывающая промышленность,На 1000 долларов США,251234.3
2017,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Обрабатывающая промышленность,На 1000 долларов США,186333.7
2018,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Обрабатывающая промышленность,На 1000 долларов США,376441.7
2010,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Снабжение электричеством, газом, паром и кондиционированным воздухом",На 1000 долларов США,20.5
2012,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Снабжение электричеством, газом, паром и кондиционированным воздухом",На 1000 долларов США,15.1
2013,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Снабжение электричеством, газом, паром и кондиционированным воздухом",На 1000 долларов США,16200.5
2014,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Снабжение электричеством, газом, паром и кондиционированным воздухом",На 1000 долларов США,43580.9
2015,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Снабжение электричеством, газом, паром и кондиционированным воздухом",На 1000 долларов США,136704.8
2016,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Снабжение электричеством, газом, паром и кондиционированным воздухом",На 1000 долларов США,122246.9
2017,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Снабжение электричеством, газом, паром и кондиционированным воздухом",На 1000 долларов США,79828.6
2018,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Снабжение электричеством, газом, паром и кондиционированным воздухом",На 1000 долларов США,15830.6
2008,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",На 1000 долларов США,1282.893
2009,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",На 1000 долларов США,311.0
2010,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",На 1000 долларов США,17.0
2011,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",На 1000 долларов США,23.9
2012,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",На 1000 долларов США,29.6
2013,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",На 1000 долларов США,158.6
2014,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",На 1000 долларов США,31.5
2018,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",На 1000 долларов США,3.8
2008,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Строительство,На 1000 долларов США,48949.5
2009,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Строительство,На 1000 долларов США,21396.9
2010,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Строительство,На 1000 долларов США,12908.2
2011,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Строительство,На 1000 долларов США,6404.9
2012,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Строительство,На 1000 долларов США,27832.6
2013,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Строительство,На 1000 долларов США,15504.6
2014,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Строительство,На 1000 долларов США,20045.5
2015,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Строительство,На 1000 долларов США,107007.6
2016,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Строительство,На 1000 долларов США,25385.8
2017,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Строительство,На 1000 долларов США,3070.6
2018,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Строительство,На 1000 долларов США,71859.5
2008,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,На 1000 долларов США,56200.3
2009,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,На 1000 долларов США,52960.3
2010,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,На 1000 долларов США,53484.3
2011,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,На 1000 долларов США,64982.6
2012,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,На 1000 долларов США,32625.9
2013,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,На 1000 долларов США,66575.3
2014,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,На 1000 долларов США,37620.0
2015,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,На 1000 долларов США,64832.3
2016,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,На 1000 долларов США,13231.0
2017,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,На 1000 долларов США,30550.6
2018,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,На 1000 долларов США,34533.2
2008,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Транспорт и складское хозяйство,На 1000 долларов США,15126.3
2009,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Транспорт и складское хозяйство,На 1000 долларов США,8775.8
2010,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Транспорт и складское хозяйство,На 1000 долларов США,12167.0
2011,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Транспорт и складское хозяйство,На 1000 долларов США,36623.8
2012,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Транспорт и складское хозяйство,На 1000 долларов США,6449.1
2013,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Транспорт и складское хозяйство,На 1000 долларов США,10062.1
2014,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Транспорт и складское хозяйство,На 1000 долларов США,6042.6
2015,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Транспорт и складское хозяйство,На 1000 долларов США,2551.5
2016,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Транспорт и складское хозяйство,На 1000 долларов США,18.2
2017,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Транспорт и складское хозяйство,На 1000 долларов США,104.8
2018,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Транспорт и складское хозяйство,На 1000 долларов США,8726.8
2008,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Размещение и общественное питание,На 1000 долларов США,2386.663
2009,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Размещение и общественное питание,На 1000 долларов США,4782.8
2010,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Размещение и общественное питание,На 1000 долларов США,8158.1
2011,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Размещение и общественное питание,На 1000 долларов США,4010.7
2012,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Размещение и общественное питание,На 1000 долларов США,1759.8
2013,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Размещение и общественное питание,На 1000 долларов США,473.6
2014,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Размещение и общественное питание,На 1000 долларов США,219.3
2015,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Размещение и общественное питание,На 1000 долларов США,38.4
2016,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Размещение и общественное питание,На 1000 долларов США,2102.5
2017,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Размещение и общественное питание,На 1000 долларов США,2624.7
2018,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Размещение и общественное питание,На 1000 долларов США,638.2
2008,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Информация и связь,На 1000 долларов США,2449.8
2009,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Информация и связь,На 1000 долларов США,13580.1
2010,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Информация и связь,На 1000 долларов США,922.5
2011,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Информация и связь,На 1000 долларов США,3243.4
2012,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Информация и связь,На 1000 долларов США,2642.0
2013,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Информация и связь,На 1000 долларов США,3235.3
2014,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Информация и связь,На 1000 долларов США,13168.7
2015,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Информация и связь,На 1000 долларов США,5699.3
2016,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Информация и связь,На 1000 долларов США,1251.0
2017,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Информация и связь,На 1000 долларов США,14422.4
2018,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Информация и связь,На 1000 долларов США,52603.8
2008,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Финансовая деятельность и страхование,На 1000 долларов США,347140.389
2009,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Финансовая деятельность и страхование,На 1000 долларов США,250155.9
2010,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Финансовая деятельность и страхование,На 1000 долларов США,34882.2
2011,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Финансовая деятельность и страхование,На 1000 долларов США,48145.0
2012,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Финансовая деятельность и страхование,На 1000 долларов США,42233.9
2013,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Финансовая деятельность и страхование,На 1000 долларов США,99847.3
2014,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Финансовая деятельность и страхование,На 1000 долларов США,28495.0
2015,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Финансовая деятельность и страхование,На 1000 долларов США,411883.8
2016,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Финансовая деятельность и страхование,На 1000 долларов США,178724.5
2017,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Финансовая деятельность и страхование,На 1000 долларов США,81475.8
2018,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Финансовая деятельность и страхование,На 1000 долларов США,53939.5
2010,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Операции с недвижимым имуществом,На 1000 долларов США,314.1
2011,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Операции с недвижимым имуществом,На 1000 долларов США,241.2
2012,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Операции с недвижимым имуществом,На 1000 долларов США,3961.3
2013,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Операции с недвижимым имуществом,На 1000 долларов США,2567.9
2014,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Операции с недвижимым имуществом,На 1000 долларов США,3071.3
2015,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Операции с недвижимым имуществом,На 1000 долларов США,2845.7
2016,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Операции с недвижимым имуществом,На 1000 долларов США,216.8
2017,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Операции с недвижимым имуществом,На 1000 долларов США,1.1
2018,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Операции с недвижимым имуществом,На 1000 долларов США,729.6
2008,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Профессиональная, научная и техническая деятельность",На 1000 долларов США,146708.1692
2009,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Профессиональная, научная и техническая деятельность",На 1000 долларов США,148003.4
2010,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Профессиональная, научная и техническая деятельность",На 1000 долларов США,210779.0
2011,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Профессиональная, научная и техническая деятельность",На 1000 долларов США,169475.1
2012,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Профессиональная, научная и техническая деятельность",На 1000 долларов США,186849.8
2013,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Профессиональная, научная и техническая деятельность",На 1000 долларов США,403375.4
2014,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Профессиональная, научная и техническая деятельность",На 1000 долларов США,228570.3
2015,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Профессиональная, научная и техническая деятельность",На 1000 долларов США,261903.2
2016,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Профессиональная, научная и техническая деятельность",На 1000 долларов США,164965.9
2017,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Профессиональная, научная и техническая деятельность",На 1000 долларов США,132449.4
2018,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Профессиональная, научная и техническая деятельность",На 1000 долларов США,142129.0
2008,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Деятельность в сфере административных и вспомогательных услуг,На 1000 долларов США,0.2841
2009,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Деятельность в сфере административных и вспомогательных услуг,На 1000 долларов США,9.3
2010,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Деятельность в сфере административных и вспомогательных услуг,На 1000 долларов США,2.4
2011,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Деятельность в сфере административных и вспомогательных услуг,На 1000 долларов США,1.7
2012,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Деятельность в сфере административных и вспомогательных услуг,На 1000 долларов США,1083.0
2013,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Деятельность в сфере административных и вспомогательных услуг,На 1000 долларов США,17.1
2014,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Деятельность в сфере административных и вспомогательных услуг,На 1000 долларов США,11.1
2015,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Деятельность в сфере административных и вспомогательных услуг,На 1000 долларов США,0.8
2016,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Деятельность в сфере административных и вспомогательных услуг,На 1000 долларов США,65.4
2017,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Деятельность в сфере административных и вспомогательных услуг,На 1000 долларов США,123.3
2018,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Деятельность в сфере административных и вспомогательных услуг,На 1000 долларов США,76.1
2008,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Образование,На 1000 долларов США,0.3
2009,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Образование,На 1000 долларов США,139.3
2010,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Образование,На 1000 долларов США,12.9
2013,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Образование,На 1000 долларов США,5009.5
2014,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Образование,На 1000 долларов США,11.7
2015,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Образование,На 1000 долларов США,17.3
2016,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Образование,На 1000 долларов США,5.2
2017,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Образование,На 1000 долларов США,6.1
2008,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Деятельность в сфере здравоохранения и социальных услуг,На 1000 долларов США,397.7
2009,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Деятельность в сфере здравоохранения и социальных услуг,На 1000 долларов США,395.3
2012,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Деятельность в сфере здравоохранения и социальных услуг,На 1000 долларов США,127.2
2017,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Деятельность в сфере здравоохранения и социальных услуг,На 1000 долларов США,73.0
2018,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Деятельность в сфере здравоохранения и социальных услуг,На 1000 долларов США,8.1
2008,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Искусство, сфера развлечений и отдыха",На 1000 долларов США,37.0393
2009,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Искусство, сфера развлечений и отдыха",На 1000 долларов США,476.6
2011,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Искусство, сфера развлечений и отдыха",На 1000 долларов США,33.1
2012,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Искусство, сфера развлечений и отдыха",На 1000 долларов США,141.5
2013,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Искусство, сфера развлечений и отдыха",На 1000 долларов США,240.4
2017,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,"Искусство, сфера развлечений и отдыха",На 1000 долларов США,4712.0
2013,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Прочие виды деятельности в сфере услуг,На 1000 долларов США,0.1
2018,Годовая,Национальный,Поступление прямых иностранных инвестиций по  видам экономической деятельности,Киргизия,Прочие виды деятельности в сфере услуг,На 1000 долларов США,50.4
