Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,DT_TDS_DECT,,PT,4.0
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,DT_TDS_DECT,,PT,4.6
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,DT_TDS_DECT,,PT,6.9
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,DT_TDS_DECT,,PT,6.8
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,DT_TDS_DECT,,PT,6.2
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,DT_TDS_DECT,,PT,6.7
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,DT_TDS_DECT,,PT,7.2
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,DT_TDS_DECT,,PT,6.8
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,DT_TDS_DECT,,PT,7.6
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,DT_TDS_DECT,,PT,12.2
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,DT_TDS_DECT,,PT,11.3
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,DT_TDS_DECT,,PT,13.0
