Year,Частота наблюдений,Тип отчетности,Series,Территория,Составная разбивка,Units,Value
2012,Годовая,Национальный,Стационарные абоненты широкополосного Интернета (число),Киргизия,Скорость интернета: от 256 кбит / с до менее 2 Мбит / с,Число,22233
2013,Годовая,Национальный,Стационарные абоненты широкополосного Интернета (число),Киргизия,Скорость интернета: от 256 кбит / с до менее 2 Мбит / с,Число,77877
2014,Годовая,Национальный,Стационарные абоненты широкополосного Интернета (число),Киргизия,Скорость интернета: от 256 кбит / с до менее 2 Мбит / с,Число,105680
2015,Годовая,Национальный,Стационарные абоненты широкополосного Интернета (число),Киргизия,Скорость интернета: от 256 кбит / с до менее 2 Мбит / с,Число,46408
2016,Годовая,Национальный,Стационарные абоненты широкополосного Интернета (число),Киргизия,Скорость интернета: от 256 кбит / с до менее 2 Мбит / с,Число,27317
2017,Годовая,Национальный,Стационарные абоненты широкополосного Интернета (число),Киргизия,Скорость интернета: от 256 кбит / с до менее 2 Мбит / с,Число,27428
2018,Годовая,Национальный,Стационарные абоненты широкополосного Интернета (число),Киргизия,Скорость интернета: от 256 кбит / с до менее 2 Мбит / с,Число,12521
2012,Годовая,Национальный,Стационарные абоненты широкополосного Интернета (число),Киргизия,Скорость интернета: от 2 Мбит / с до менее 10 Мбит / с,Число,6530
2013,Годовая,Национальный,Стационарные абоненты широкополосного Интернета (число),Киргизия,Скорость интернета: от 2 Мбит / с до менее 10 Мбит / с,Число,43943
2014,Годовая,Национальный,Стационарные абоненты широкополосного Интернета (число),Киргизия,Скорость интернета: от 2 Мбит / с до менее 10 Мбит / с,Число,65345
2015,Годовая,Национальный,Стационарные абоненты широкополосного Интернета (число),Киргизия,Скорость интернета: от 2 Мбит / с до менее 10 Мбит / с,Число,59374
2016,Годовая,Национальный,Стационарные абоненты широкополосного Интернета (число),Киргизия,Скорость интернета: от 2 Мбит / с до менее 10 Мбит / с,Число,91834
2017,Годовая,Национальный,Стационарные абоненты широкополосного Интернета (число),Киргизия,Скорость интернета: от 2 Мбит / с до менее 10 Мбит / с,Число,101786
2018,Годовая,Национальный,Стационарные абоненты широкополосного Интернета (число),Киргизия,Скорость интернета: от 2 Мбит / с до менее 10 Мбит / с,Число,73099
2012,Годовая,Национальный,Стационарные абоненты широкополосного Интернета (число),Киргизия,Скорость интернета: 10 Мбит / с или выше,Число,19351
2013,Годовая,Национальный,Стационарные абоненты широкополосного Интернета (число),Киргизия,Скорость интернета: 10 Мбит / с или выше,Число,14065
2014,Годовая,Национальный,Стационарные абоненты широкополосного Интернета (число),Киргизия,Скорость интернета: 10 Мбит / с или выше,Число,14032
2015,Годовая,Национальный,Стационарные абоненты широкополосного Интернета (число),Киргизия,Скорость интернета: 10 Мбит / с или выше,Число,105739
2016,Годовая,Национальный,Стационарные абоненты широкополосного Интернета (число),Киргизия,Скорость интернета: 10 Мбит / с или выше,Число,117068
2017,Годовая,Национальный,Стационарные абоненты широкополосного Интернета (число),Киргизия,Скорость интернета: 10 Мбит / с или выше,Число,128799
2018,Годовая,Национальный,Стационарные абоненты широкополосного Интернета (число),Киргизия,Скорость интернета: 10 Мбит / с или выше,Число,154572
