Year,Частота наблюдений,Тип отчетности,Series,Территория,Тип продукта,Units,Value
2010,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),Процент,63.132137
2011,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),Процент,63.132137
2012,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),Процент,60.195759
2013,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),Процент,55.138662
2014,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),Процент,56.443719
2015,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),Процент,64.600326
2016,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),Процент,63.132137
2017,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),Процент,62.805873
2018,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),Процент,65.742251
2010,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Молоко и молочные продукты (в пересчете на молоко),Процент,106.2
2011,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Молоко и молочные продукты (в пересчете на молоко),Процент,106.5
2012,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Молоко и молочные продукты (в пересчете на молоко),Процент,105.75
2013,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Молоко и молочные продукты (в пересчете на молоко),Процент,107.5
2014,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Молоко и молочные продукты (в пересчете на молоко),Процент,107.8
2015,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Молоко и молочные продукты (в пересчете на молоко),Процент,113.15
2016,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Молоко и молочные продукты (в пересчете на молоко),Процент,112.25
2017,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Молоко и молочные продукты (в пересчете на молоко),Процент,111.65
2018,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Молоко и молочные продукты (в пересчете на молоко),Процент,109.4
2010,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Яйца,Процент,43.506849
2011,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Яйца,Процент,45.041096
2012,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Яйца,Процент,44.273973
2013,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Яйца,Процент,45.479452
2014,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Яйца,Процент,44.767123
2015,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Яйца,Процент,47.287671
2016,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Яйца,Процент,43.835616
2017,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Яйца,Процент,47.123288
2018,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Яйца,Процент,47.342466
2010,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Сахар,Процент,83.203125
2011,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Сахар,Процент,83.59375
2012,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Сахар,Процент,78.125
2013,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Сахар,Процент,82.03125
2014,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Сахар,Процент,76.953125
2015,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Сахар,Процент,71.875
2016,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Сахар,Процент,85.9375
2017,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Сахар,Процент,89.0625
2018,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Сахар,Процент,115.234375
2010,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Растительное масло,Процент,131.393493
2011,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Растительное масло,Процент,129.24425
2012,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Растительное масло,Процент,118.291347
2013,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Растительное масло,Процент,136.911281
2014,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Растительное масло,Процент,139.101862
2015,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Растительное масло,Процент,140.197152
2016,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Растительное масло,Процент,116.100767
2017,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Растительное масло,Процент,112.814896
2018,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Растительное масло,Процент,104.052574
2010,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Картофель,Процент,98.181818
2011,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Картофель,Процент,99.494949
