Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),Степень урбанизации,Unit of measure,Value
2000,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Процент,60.521725
2001,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Процент,77.154938
2002,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Процент,51.354687
2003,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Процент,55.244615
2004,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Процент,48.2
2005,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Процент,49.472402
2006,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Процент,47.554171999999994
2007,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Процент,48.479985
2008,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Процент,45.156055
2009,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Процент,40.667524
2010,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Процент,42.315954
2011,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Процент,44.70876
2012,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Процент,51.004239
2013,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Процент,48.629898
2014,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Процент,47.932099
2015,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Процент,50.982902
2016,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Процент,45.6165
2017,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Процент,50.0267
2018,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Процент,46.4
2000,Annual,National,Prevalence of undernourishment,Kyrgyzstan,городская местность,Процент,69.47274200000001
2001,Annual,National,Prevalence of undernourishment,Kyrgyzstan,городская местность,Процент,84.06804
2002,Annual,National,Prevalence of undernourishment,Kyrgyzstan,городская местность,Процент,67.70017299999999
