Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),Unit of measure,Value
2007,Annual,National,Consumer price index for food products,Kyrgyzstan,Процент,131.547158
2008,Annual,National,Consumer price index for food products,Kyrgyzstan,Процент,120.913387
2009,Annual,National,Consumer price index for food products,Kyrgyzstan,Процент,92.628335
2010,Annual,National,Consumer price index for food products,Kyrgyzstan,Процент,127.019995
2011,Annual,National,Consumer price index for food products,Kyrgyzstan,Процент,103.485746
2012,Annual,National,Consumer price index for food products,Kyrgyzstan,Процент,104.494474
2013,Annual,National,Consumer price index for food products,Kyrgyzstan,Процент,101.769602
2014,Annual,National,Consumer price index for food products,Kyrgyzstan,Процент,113.857081
2015,Annual,National,Consumer price index for food products,Kyrgyzstan,Процент,95.794976
2016,Annual,National,Consumer price index for food products,Kyrgyzstan,Процент,94.980194
2017,Annual,National,Consumer price index for food products,Kyrgyzstan,Процент,102.713332
2018,Annual,National,Consumer price index for food products,Kyrgyzstan,Процент,97.394314
2007,Annual,National,Consumer price index for food products,Баткенская область,Процент,129.740223
2008,Annual,National,Consumer price index for food products,Баткенская область,Процент,122.152556
2009,Annual,National,Consumer price index for food products,Баткенская область,Процент,98.079552
2010,Annual,National,Consumer price index for food products,Баткенская область,Процент,134.872599
2011,Annual,National,Consumer price index for food products,Баткенская область,Процент,108.143261
2012,Annual,National,Consumer price index for food products,Баткенская область,Процент,104.669453
2013,Annual,National,Consumer price index for food products,Баткенская область,Процент,103.067841
2014,Annual,National,Consumer price index for food products,Баткенская область,Процент,113.826871
2015,Annual,National,Consumer price index for food products,Баткенская область,Процент,92.841081
2016,Annual,National,Consumer price index for food products,Баткенская область,Процент,95.516291
2017,Annual,National,Consumer price index for food products,Баткенская область,Процент,104.587578
2018,Annual,National,Consumer price index for food products,Баткенская область,Процент,94.575897
2007,Annual,National,Consumer price index for food products,Жалал-Абад область,Процент,131.474644
2008,Annual,National,Consumer price index for food products,Жалал-Абад область,Процент,133.108773
