Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),пол,Unit of measure,Value
2007,Annual,National,Maternal mortality ratio,Kyrgyzstan,женский,"Per 100,000 live births",51.9
2008,Annual,National,Maternal mortality ratio,Kyrgyzstan,женский,"Per 100,000 live births",55.0
2009,Annual,National,Maternal mortality ratio,Kyrgyzstan,женский,"Per 100,000 live births",63.5
2010,Annual,National,Maternal mortality ratio,Kyrgyzstan,женский,"Per 100,000 live births",51.3
2011,Annual,National,Maternal mortality ratio,Kyrgyzstan,женский,"Per 100,000 live births",54.8
2012,Annual,National,Maternal mortality ratio,Kyrgyzstan,женский,"Per 100,000 live births",49.1
2013,Annual,National,Maternal mortality ratio,Kyrgyzstan,женский,"Per 100,000 live births",36.0
2014,Annual,National,Maternal mortality ratio,Kyrgyzstan,женский,"Per 100,000 live births",50.1
2015,Annual,National,Maternal mortality ratio,Kyrgyzstan,женский,"Per 100,000 live births",38.5
2016,Annual,National,Maternal mortality ratio,Kyrgyzstan,женский,"Per 100,000 live births",30.3
2017,Annual,National,Maternal mortality ratio,Kyrgyzstan,женский,"Per 100,000 live births",31.9
2018,Annual,National,Maternal mortality ratio,Kyrgyzstan,женский,"Per 100,000 live births",28.6
2007,Annual,National,Maternal mortality ratio,Баткенская область,женский,"Per 100,000 live births",74.8
2008,Annual,National,Maternal mortality ratio,Баткенская область,женский,"Per 100,000 live births",66.6
2009,Annual,National,Maternal mortality ratio,Баткенская область,женский,"Per 100,000 live births",41.7
2010,Annual,National,Maternal mortality ratio,Баткенская область,женский,"Per 100,000 live births",59.7
2011,Annual,National,Maternal mortality ratio,Баткенская область,женский,"Per 100,000 live births",66.9
2012,Annual,National,Maternal mortality ratio,Баткенская область,женский,"Per 100,000 live births",43.5
2013,Annual,National,Maternal mortality ratio,Баткенская область,женский,"Per 100,000 live births",42.0
2014,Annual,National,Maternal mortality ratio,Баткенская область,женский,"Per 100,000 live births",108.7
2015,Annual,National,Maternal mortality ratio,Баткенская область,женский,"Per 100,000 live births",26.1
2016,Annual,National,Maternal mortality ratio,Баткенская область,женский,"Per 100,000 live births",41.9
2017,Annual,National,Maternal mortality ratio,Баткенская область,женский,"Per 100,000 live births",51.9
2018,Annual,National,Maternal mortality ratio,Баткенская область,женский,"Per 100,000 live births",33.6
2007,Annual,National,Maternal mortality ratio,Жалал-Абад область,женский,"Per 100,000 live births",32.8
2008,Annual,National,Maternal mortality ratio,Жалал-Абад область,женский,"Per 100,000 live births",66.6
2009,Annual,National,Maternal mortality ratio,Жалал-Абад область,женский,"Per 100,000 live births",40.3
2010,Annual,National,Maternal mortality ratio,Жалал-Абад область,женский,"Per 100,000 live births",31.1
2011,Annual,National,Maternal mortality ratio,Жалал-Абад область,женский,"Per 100,000 live births",36.5
2012,Annual,National,Maternal mortality ratio,Жалал-Абад область,женский,"Per 100,000 live births",55.9
2013,Annual,National,Maternal mortality ratio,Жалал-Абад область,женский,"Per 100,000 live births",33.0
2014,Annual,National,Maternal mortality ratio,Жалал-Абад область,женский,"Per 100,000 live births",53.7
2015,Annual,National,Maternal mortality ratio,Жалал-Абад область,женский,"Per 100,000 live births",53.3
2016,Annual,National,Maternal mortality ratio,Жалал-Абад область,женский,"Per 100,000 live births",33.5
2017,Annual,National,Maternal mortality ratio,Жалал-Абад область,женский,"Per 100,000 live births",53.6
2018,Annual,National,Maternal mortality ratio,Жалал-Абад область,женский,"Per 100,000 live births",38.2
2007,Annual,National,Maternal mortality ratio,Иссык-Кульская область,женский,"Per 100,000 live births",89.7
2008,Annual,National,Maternal mortality ratio,Иссык-Кульская область,женский,"Per 100,000 live births",122.9
2009,Annual,National,Maternal mortality ratio,Иссык-Кульская область,женский,"Per 100,000 live births",72.0
2010,Annual,National,Maternal mortality ratio,Иссык-Кульская область,женский,"Per 100,000 live births",70.4
2011,Annual,National,Maternal mortality ratio,Иссык-Кульская область,женский,"Per 100,000 live births",62.6
2012,Annual,National,Maternal mortality ratio,Иссык-Кульская область,женский,"Per 100,000 live births",97.2
2013,Annual,National,Maternal mortality ratio,Иссык-Кульская область,женский,"Per 100,000 live births",37.2
2014,Annual,National,Maternal mortality ratio,Иссык-Кульская область,женский,"Per 100,000 live births",55.3
2015,Annual,National,Maternal mortality ratio,Иссык-Кульская область,женский,"Per 100,000 live births",26.7
2016,Annual,National,Maternal mortality ratio,Иссык-Кульская область,женский,"Per 100,000 live births",34.7
2017,Annual,National,Maternal mortality ratio,Иссык-Кульская область,женский,"Per 100,000 live births",37.0
2018,Annual,National,Maternal mortality ratio,Иссык-Кульская область,женский,"Per 100,000 live births",71.2
2007,Annual,National,Maternal mortality ratio,Нарынская область,женский,"Per 100,000 live births",62.3
