Year,Частота наблюдений,Тип отчетности,Series,Территория,Возраст,Units,Value
2007,Годовая,Национальный,Коэффициент неонатальной смертности ,Киргизия,до 1 месяца,На 1000 живорождений,21.062709
2008,Годовая,Национальный,Коэффициент неонатальной смертности ,Киргизия,до 1 месяца,На 1000 живорождений,19.633713
2009,Годовая,Национальный,Коэффициент неонатальной смертности ,Киргизия,до 1 месяца,На 1000 живорождений,18.141025
2010,Годовая,Национальный,Коэффициент неонатальной смертности ,Киргизия,до 1 месяца,На 1000 живорождений,16.397145
2011,Годовая,Национальный,Коэффициент неонатальной смертности ,Киргизия,до 1 месяца,На 1000 живорождений,15.346363
2012,Годовая,Национальный,Коэффициент неонатальной смертности ,Киргизия,до 1 месяца,На 1000 живорождений,14.627093
2013,Годовая,Национальный,Коэффициент неонатальной смертности ,Киргизия,до 1 месяца,На 1000 живорождений,14.891975
2014,Годовая,Национальный,Коэффициент неонатальной смертности ,Киргизия,до 1 месяца,На 1000 живорождений,15.641512
2015,Годовая,Национальный,Коэффициент неонатальной смертности ,Киргизия,до 1 месяца,На 1000 живорождений,13.997993
2016,Годовая,Национальный,Коэффициент неонатальной смертности ,Киргизия,до 1 месяца,На 1000 живорождений,12.670713
2017,Годовая,Национальный,Коэффициент неонатальной смертности ,Киргизия,до 1 месяца,На 1000 живорождений,11.795339
2018,Годовая,Национальный,Коэффициент неонатальной смертности ,Киргизия,до 1 месяца,На 1000 живорождений,12.0
2007,Годовая,Национальный,Коэффициент неонатальной смертности ,Баткенская область,до 1 месяца,На 1000 живорождений,20.020582
2008,Годовая,Национальный,Коэффициент неонатальной смертности ,Баткенская область,до 1 месяца,На 1000 живорождений,20.371252
2009,Годовая,Национальный,Коэффициент неонатальной смертности ,Баткенская область,до 1 месяца,На 1000 живорождений,17.752959
2010,Годовая,Национальный,Коэффициент неонатальной смертности ,Баткенская область,до 1 месяца,На 1000 живорождений,17.905103
2011,Годовая,Национальный,Коэффициент неонатальной смертности ,Баткенская область,до 1 месяца,На 1000 живорождений,15.911964
2012,Годовая,Национальный,Коэффициент неонатальной смертности ,Баткенская область,до 1 месяца,На 1000 живорождений,13.333333
2013,Годовая,Национальный,Коэффициент неонатальной смертности ,Баткенская область,до 1 месяца,На 1000 живорождений,13.29229
2014,Годовая,Национальный,Коэффициент неонатальной смертности ,Баткенская область,до 1 месяца,На 1000 живорождений,12.498302
2015,Годовая,Национальный,Коэффициент неонатальной смертности ,Баткенская область,до 1 месяца,На 1000 живорождений,11.21983
2016,Годовая,Национальный,Коэффициент неонатальной смертности ,Баткенская область,до 1 месяца,На 1000 живорождений,10.61082
2017,Годовая,Национальный,Коэффициент неонатальной смертности ,Баткенская область,до 1 месяца,На 1000 живорождений,10.611457
2018,Годовая,Национальный,Коэффициент неонатальной смертности ,Баткенская область,до 1 месяца,На 1000 живорождений,9.3
2007,Годовая,Национальный,Коэффициент неонатальной смертности ,Джалал-Абадская область,до 1 месяца,На 1000 живорождений,17.491993
2008,Годовая,Национальный,Коэффициент неонатальной смертности ,Джалал-Абадская область,до 1 месяца,На 1000 живорождений,13.828495
2009,Годовая,Национальный,Коэффициент неонатальной смертности ,Джалал-Абадская область,до 1 месяца,На 1000 живорождений,13.109231
2010,Годовая,Национальный,Коэффициент неонатальной смертности ,Джалал-Абадская область,до 1 месяца,На 1000 живорождений,11.41671
2011,Годовая,Национальный,Коэффициент неонатальной смертности ,Джалал-Абадская область,до 1 месяца,На 1000 живорождений,11.64604
2012,Годовая,Национальный,Коэффициент неонатальной смертности ,Джалал-Абадская область,до 1 месяца,На 1000 живорождений,11.539979
2013,Годовая,Национальный,Коэффициент неонатальной смертности ,Джалал-Абадская область,до 1 месяца,На 1000 живорождений,13.183481
2014,Годовая,Национальный,Коэффициент неонатальной смертности ,Джалал-Абадская область,до 1 месяца,На 1000 живорождений,14.415326
2015,Годовая,Национальный,Коэффициент неонатальной смертности ,Джалал-Абадская область,до 1 месяца,На 1000 живорождений,12.659814
2016,Годовая,Национальный,Коэффициент неонатальной смертности ,Джалал-Абадская область,до 1 месяца,На 1000 живорождений,11.493097
2017,Годовая,Национальный,Коэффициент неонатальной смертности ,Джалал-Абадская область,до 1 месяца,На 1000 живорождений,9.918574
2018,Годовая,Национальный,Коэффициент неонатальной смертности ,Джалал-Абадская область,до 1 месяца,На 1000 живорождений,10.2
2007,Годовая,Национальный,Коэффициент неонатальной смертности ,Иссык-Кульская область,до 1 месяца,На 1000 живорождений,17.433752
2008,Годовая,Национальный,Коэффициент неонатальной смертности ,Иссык-Кульская область,до 1 месяца,На 1000 живорождений,18.44146
2009,Годовая,Национальный,Коэффициент неонатальной смертности ,Иссык-Кульская область,до 1 месяца,На 1000 живорождений,16.389014
2010,Годовая,Национальный,Коэффициент неонатальной смертности ,Иссык-Кульская область,до 1 месяца,На 1000 живорождений,15.933099
2011,Годовая,Национальный,Коэффициент неонатальной смертности ,Иссык-Кульская область,до 1 месяца,На 1000 живорождений,16.267429
2012,Годовая,Национальный,Коэффициент неонатальной смертности ,Иссык-Кульская область,до 1 месяца,На 1000 живорождений,14.75265
2013,Годовая,Национальный,Коэффициент неонатальной смертности ,Иссык-Кульская область,до 1 месяца,На 1000 живорождений,11.261052
2014,Годовая,Национальный,Коэффициент неонатальной смертности ,Иссык-Кульская область,до 1 месяца,На 1000 живорождений,9.306183
