Year,Frequency of observation,Reporting type,Series,Справочная зона (условная зона),пол,Units,Value
2007,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",115.478276
2008,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",106.34008200000001
2009,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",103.932976
2010,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",101.138775
2011,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",100.367124
2012,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",104.34219399999999
2013,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",102.43271999999999
2014,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",101.065558
2015,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",98.249685
2016,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",93.423511
2017,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",90.6
2018,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",83.01288199999999
2007,Annual,National,Tuberculosis incidence,Kyrgyzstan,женский,"Per 100,000 population",91.061332
2008,Annual,National,Tuberculosis incidence,Kyrgyzstan,женский,"Per 100,000 population",85.80910300000001
2009,Annual,National,Tuberculosis incidence,Kyrgyzstan,женский,"Per 100,000 population",85.417204
2010,Annual,National,Tuberculosis incidence,Kyrgyzstan,женский,"Per 100,000 population",84.9
2011,Annual,National,Tuberculosis incidence,Kyrgyzstan,женский,"Per 100,000 population",81.94725
2012,Annual,National,Tuberculosis incidence,Kyrgyzstan,женский,"Per 100,000 population",85.223608
2013,Annual,National,Tuberculosis incidence,Kyrgyzstan,женский,"Per 100,000 population",87.8
2014,Annual,National,Tuberculosis incidence,Kyrgyzstan,женский,"Per 100,000 population",88.7
2015,Annual,National,Tuberculosis incidence,Kyrgyzstan,женский,"Per 100,000 population",83.7
2016,Annual,National,Tuberculosis incidence,Kyrgyzstan,женский,"Per 100,000 population",81.7
2017,Annual,National,Tuberculosis incidence,Kyrgyzstan,женский,"Per 100,000 population",77.7
2018,Annual,National,Tuberculosis incidence,Kyrgyzstan,женский,"Per 100,000 population",69.02199
2007,Annual,National,Tuberculosis incidence,Kyrgyzstan,мужской,"Per 100,000 population",140.46199
2008,Annual,National,Tuberculosis incidence,Kyrgyzstan,мужской,"Per 100,000 population",127.33842299999999
2009,Annual,National,Tuberculosis incidence,Kyrgyzstan,мужской,"Per 100,000 population",122.936319
2010,Annual,National,Tuberculosis incidence,Kyrgyzstan,мужской,"Per 100,000 population",117.8
2011,Annual,National,Tuberculosis incidence,Kyrgyzstan,мужской,"Per 100,000 population",119.25600700000001
2012,Annual,National,Tuberculosis incidence,Kyrgyzstan,мужской,"Per 100,000 population",123.92298400000001
2013,Annual,National,Tuberculosis incidence,Kyrgyzstan,мужской,"Per 100,000 population",117.4
2014,Annual,National,Tuberculosis incidence,Kyrgyzstan,мужской,"Per 100,000 population",113.7
2015,Annual,National,Tuberculosis incidence,Kyrgyzstan,мужской,"Per 100,000 population",113.1
2016,Annual,National,Tuberculosis incidence,Kyrgyzstan,мужской,"Per 100,000 population",105.3
2017,Annual,National,Tuberculosis incidence,Kyrgyzstan,мужской,"Per 100,000 population",103.8
2018,Annual,National,Tuberculosis incidence,Kyrgyzstan,мужской,"Per 100,000 population",97.23429200000001
