Year,Частота наблюдений,Тип отчетности,Series,Территория,Составная разбивка,Units,Value
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,349.7
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,346.3
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,326.5
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,323.9
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,326.3
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,331.2
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,308.2
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,307.0
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,297.0
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,279.7
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,276.0
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,265.7
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,289.2
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,295.3
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,301.8
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,285.1
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,305.7
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,338.2
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,289.5
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,283.0
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,284.8
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,292.3
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,284.3
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,257.2
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,284.4
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,298.4
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,278.5
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,266.2
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,289.8
