Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2007,Годовая,Национальный,Коэффициент смертности от самоубийств ,Киргизия,На 100 000 населения,9.2
2008,Годовая,Национальный,Коэффициент смертности от самоубийств ,Киргизия,На 100 000 населения,8.9
2009,Годовая,Национальный,Коэффициент смертности от самоубийств ,Киргизия,На 100 000 населения,8.5
2010,Годовая,Национальный,Коэффициент смертности от самоубийств ,Киргизия,На 100 000 населения,9.2
2011,Годовая,Национальный,Коэффициент смертности от самоубийств ,Киргизия,На 100 000 населения,8.5
2012,Годовая,Национальный,Коэффициент смертности от самоубийств ,Киргизия,На 100 000 населения,9.3
2013,Годовая,Национальный,Коэффициент смертности от самоубийств ,Киргизия,На 100 000 населения,7.8
2014,Годовая,Национальный,Коэффициент смертности от самоубийств ,Киргизия,На 100 000 населения,7.9
2015,Годовая,Национальный,Коэффициент смертности от самоубийств ,Киргизия,На 100 000 населения,7.0
2016,Годовая,Национальный,Коэффициент смертности от самоубийств ,Киргизия,На 100 000 населения,6.9
2017,Годовая,Национальный,Коэффициент смертности от самоубийств ,Киргизия,На 100 000 населения,6.3
2018,Годовая,Национальный,Коэффициент смертности от самоубийств ,Киргизия,На 100 000 населения,6.0
2007,Годовая,Национальный,Коэффициент смертности от самоубийств ,Баткенская область,На 100 000 населения,6.6
2008,Годовая,Национальный,Коэффициент смертности от самоубийств ,Баткенская область,На 100 000 населения,8.5
2009,Годовая,Национальный,Коэффициент смертности от самоубийств ,Баткенская область,На 100 000 населения,7.4
2010,Годовая,Национальный,Коэффициент смертности от самоубийств ,Баткенская область,На 100 000 населения,6.4
2011,Годовая,Национальный,Коэффициент смертности от самоубийств ,Баткенская область,На 100 000 населения,8.5
2012,Годовая,Национальный,Коэффициент смертности от самоубийств ,Баткенская область,На 100 000 населения,9.7
2013,Годовая,Национальный,Коэффициент смертности от самоубийств ,Баткенская область,На 100 000 населения,6.9
2014,Годовая,Национальный,Коэффициент смертности от самоубийств ,Баткенская область,На 100 000 населения,6.1
2015,Годовая,Национальный,Коэффициент смертности от самоубийств ,Баткенская область,На 100 000 населения,8.2
2016,Годовая,Национальный,Коэффициент смертности от самоубийств ,Баткенская область,На 100 000 населения,5.8
2017,Годовая,Национальный,Коэффициент смертности от самоубийств ,Баткенская область,На 100 000 населения,6.1
2018,Годовая,Национальный,Коэффициент смертности от самоубийств ,Баткенская область,На 100 000 населения,7.5
2007,Годовая,Национальный,Коэффициент смертности от самоубийств ,Джалал-Абадская область,На 100 000 населения,5.7
