Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Units,Value
2010,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,Киргизия,,На 100 000 населения,53.8
2013,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,Киргизия,,На 100 000 населения,31.2
2014,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,Киргизия,,На 100 000 населения,27.4
2015,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,Киргизия,,На 100 000 населения,23.5
2016,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,Киргизия,,На 100 000 населения,28.4
2017,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,Киргизия,,На 100 000 населения,23.0
2018,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,Киргизия,,На 100 000 населения,18.6
2010,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,Киргизия,Женщины,На 100 000 населения,13.1
2013,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,Киргизия,Женщины,На 100 000 населения,7.4
2014,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,Киргизия,Женщины,На 100 000 населения,5.7
2015,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,Киргизия,Женщины,На 100 000 населения,5.6
2016,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,Киргизия,Женщины,На 100 000 населения,6.4
2017,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,Киргизия,Женщины,На 100 000 населения,6.8
2018,Годовая,Национальный, Заболеваемость алкогольной зависимостью на 100 000 населения по полу и территории ,Киргизия,Женщины,На 100 000 населения,4.0
