Year,Статус наблюдения,Множитель,Характер данных,Сноски на уровне наблюдения,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Статус инвалидности,Units,Value
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,,,,PT,42.0
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,,,,PT,67.4
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,Баткенская область,Женщины,,,,,,PT,45.0
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,Баткенская область,Женщины,,,,,,PT,48.6
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,Джалал-Абадская область,Женщины,,,,,,PT,31.4
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,Джалал-Абадская область,Женщины,,,,,,PT,56.2
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,Иссык-Кульская область,Женщины,,,,,,PT,46.0
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,Иссык-Кульская область,Женщины,,,,,,PT,65.1
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,Нарынская область,Женщины,,,,,,PT,58.9
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,Нарынская область,Женщины,,,,,,PT,79.8
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,Ошская область,Женщины,,,,,,PT,38.4
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,Ошская область,Женщины,,,,,,PT,71.1
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,Таласская область,Женщины,,,,,,PT,43.4
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,Таласская область,Женщины,,,,,,PT,79.1
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,Чуйская область,Женщины,,,,,,PT,47.8
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,Чуйская область,Женщины,,,,,,PT,70.7
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,г. Бишкек,Женщины,,,,,,PT,47.0
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,г. Бишкек,Женщины,,,,,,PT,69.6
