Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Units,Value
2007,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Киргизия,Женщины,от 15 до 19 лет ,На 1000 населения,29.5
2008,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Киргизия,Женщины,от 15 до 19 лет ,На 1000 населения,30.1
2009,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Киргизия,Женщины,от 15 до 19 лет ,На 1000 населения,31.2
2010,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Киргизия,Женщины,от 15 до 19 лет ,На 1000 населения,34.1
2011,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Киргизия,Женщины,от 15 до 19 лет ,На 1000 населения,41.4
2012,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Киргизия,Женщины,от 15 до 19 лет ,На 1000 населения,42.1
2013,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Киргизия,Женщины,от 15 до 19 лет ,На 1000 населения,41.9
2014,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Киргизия,Женщины,от 15 до 19 лет ,На 1000 населения,43.3
2015,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Киргизия,Женщины,от 15 до 19 лет ,На 1000 населения,39.7
2016,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Киргизия,Женщины,от 15 до 19 лет ,На 1000 населения,38.6
2017,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Киргизия,Женщины,от 15 до 19 лет ,На 1000 населения,33.9
2018,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Киргизия,Женщины,от 15 до 19 лет ,На 1000 населения,35.9
2007,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Баткенская область,Женщины,от 15 до 19 лет ,На 1000 населения,25.4
2008,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Баткенская область,Женщины,от 15 до 19 лет ,На 1000 населения,27.2
2009,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Баткенская область,Женщины,от 15 до 19 лет ,На 1000 населения,30.6
2010,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Баткенская область,Женщины,от 15 до 19 лет ,На 1000 населения,36.1
2011,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Баткенская область,Женщины,от 15 до 19 лет ,На 1000 населения,40.2
2012,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Баткенская область,Женщины,от 15 до 19 лет ,На 1000 населения,44.6
2013,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Баткенская область,Женщины,от 15 до 19 лет ,На 1000 населения,43.2
2014,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Баткенская область,Женщины,от 15 до 19 лет ,На 1000 населения,43.3
2015,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Баткенская область,Женщины,от 15 до 19 лет ,На 1000 населения,38.4
2016,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Баткенская область,Женщины,от 15 до 19 лет ,На 1000 населения,36.5
2017,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Баткенская область,Женщины,от 15 до 19 лет ,На 1000 населения,31.2
2018,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Баткенская область,Женщины,от 15 до 19 лет ,На 1000 населения,30.2
2007,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Джалал-Абадская область,Женщины,от 15 до 19 лет ,На 1000 населения,30.1
2008,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Джалал-Абадская область,Женщины,от 15 до 19 лет ,На 1000 населения,33.0
2009,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Джалал-Абадская область,Женщины,от 15 до 19 лет ,На 1000 населения,36.8
2010,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Джалал-Абадская область,Женщины,от 15 до 19 лет ,На 1000 населения,38.8
2011,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Джалал-Абадская область,Женщины,от 15 до 19 лет ,На 1000 населения,47.6
2012,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Джалал-Абадская область,Женщины,от 15 до 19 лет ,На 1000 населения,45.3
2013,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Джалал-Абадская область,Женщины,от 15 до 19 лет ,На 1000 населения,44.8
2014,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Джалал-Абадская область,Женщины,от 15 до 19 лет ,На 1000 населения,47.7
2015,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Джалал-Абадская область,Женщины,от 15 до 19 лет ,На 1000 населения,53.5
2016,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Джалал-Абадская область,Женщины,от 15 до 19 лет ,На 1000 населения,39.3
2017,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Джалал-Абадская область,Женщины,от 15 до 19 лет ,На 1000 населения,34.7
2018,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Джалал-Абадская область,Женщины,от 15 до 19 лет ,На 1000 населения,36.2
2007,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Иссык-Кульская область,Женщины,от 15 до 19 лет ,На 1000 населения,27.5
2008,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Иссык-Кульская область,Женщины,от 15 до 19 лет ,На 1000 населения,27.7
2009,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Иссык-Кульская область,Женщины,от 15 до 19 лет ,На 1000 населения,30.0
2010,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Иссык-Кульская область,Женщины,от 15 до 19 лет ,На 1000 населения,30.2
2011,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Иссык-Кульская область,Женщины,от 15 до 19 лет ,На 1000 населения,31.8
2012,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Иссык-Кульская область,Женщины,от 15 до 19 лет ,На 1000 населения,31.8
2013,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Иссык-Кульская область,Женщины,от 15 до 19 лет ,На 1000 населения,31.0
2014,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Иссык-Кульская область,Женщины,от 15 до 19 лет ,На 1000 населения,31.8
2015,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Иссык-Кульская область,Женщины,от 15 до 19 лет ,На 1000 населения,45.4
2016,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Иссык-Кульская область,Женщины,от 15 до 19 лет ,На 1000 населения,32.8
