Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Составная разбивка,Units,Value
2005,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,,Число,2331
2006,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,,Число,2083
2007,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,,Число,2050
2008,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,,Число,1833
2009,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,,Число,1813
2010,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,,Число,2178
2011,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,,Число,2406
2012,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,,Число,1920
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,,Число,1708
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,,Число,1453
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,,Число,1254
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,,Число,1469
2017,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,,Число,1464
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,,Число,1622
2005,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина: материальные трудности,Число,295
2006,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина: материальные трудности,Число,151
2007,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина: материальные трудности,Число,154
2008,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина: материальные трудности,Число,168
2009,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина: материальные трудности,Число,94
2010,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина: материальные трудности,Число,85
2011,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина: материальные трудности,Число,226
2012,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина: материальные трудности,Число,157
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина: материальные трудности,Число,55
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина: материальные трудности,Число,80
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина: материальные трудности,Число,80
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина: материальные трудности,Число,84
2017,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина: материальные трудности,Число,99
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина: материальные трудности,Число,104
2005,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нежелание родителей,Число,86
