Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Уровень дохода или квантиль благосостояния,Уровень образования,Units,Value
2014,Годовая,Национальный,SE_DEV_ONTRK,,,до 5 лет,,,PT,78.3
2018,Годовая,Национальный,SE_DEV_ONTRK,,,до 5 лет,,,PT,71.7
2014,Годовая,Национальный,SE_DEV_ONTRK,Баткенская область,,до 5 лет,,,PT,81.2
2018,Годовая,Национальный,SE_DEV_ONTRK,Баткенская область,,до 5 лет,,,PT,83.3
2014,Годовая,Национальный,SE_DEV_ONTRK,Джалал-Абадская область,,до 5 лет,,,PT,87.1
2018,Годовая,Национальный,SE_DEV_ONTRK,Джалал-Абадская область,,до 5 лет,,,PT,63.9
2014,Годовая,Национальный,SE_DEV_ONTRK,Иссык-Кульская область,,до 5 лет,,,PT,81.6
2018,Годовая,Национальный,SE_DEV_ONTRK,Иссык-Кульская область,,до 5 лет,,,PT,79.8
2014,Годовая,Национальный,SE_DEV_ONTRK,Нарынская область,,до 5 лет,,,PT,80.6
2018,Годовая,Национальный,SE_DEV_ONTRK,Нарынская область,,до 5 лет,,,PT,72.4
2014,Годовая,Национальный,SE_DEV_ONTRK,Ошская область,,до 5 лет,,,PT,69.6
2018,Годовая,Национальный,SE_DEV_ONTRK,Ошская область,,до 5 лет,,,PT,65.8
2014,Годовая,Национальный,SE_DEV_ONTRK,Таласская область,,до 5 лет,,,PT,84.9
2018,Годовая,Национальный,SE_DEV_ONTRK,Таласская область,,до 5 лет,,,PT,65.1
2014,Годовая,Национальный,SE_DEV_ONTRK,Чуйская область,,до 5 лет,,,PT,73.5
2018,Годовая,Национальный,SE_DEV_ONTRK,Чуйская область,,до 5 лет,,,PT,72.0
2014,Годовая,Национальный,SE_DEV_ONTRK,г. Бишкек,,до 5 лет,,,PT,87.4
2018,Годовая,Национальный,SE_DEV_ONTRK,г. Бишкек,,до 5 лет,,,PT,81.3
2014,Годовая,Национальный,SE_DEV_ONTRK,г. Ош,,до 5 лет,,,PT,52.0
2018,Годовая,Национальный,SE_DEV_ONTRK,г. Ош,,до 5 лет,,,PT,71.5
2014,Годовая,Национальный,SE_DEV_ONTRK,,Мужчины,до 5 лет,,,PT,76.1
2018,Годовая,Национальный,SE_DEV_ONTRK,,Мужчины,до 5 лет,,,PT,68.2
2014,Годовая,Национальный,SE_DEV_ONTRK,,Женщины,до 5 лет,,,PT,80.6
2018,Годовая,Национальный,SE_DEV_ONTRK,,Женщины,до 5 лет,,,PT,75.0
2014,Годовая,Национальный,SE_DEV_ONTRK,,,до 5 лет,,Первый этап среднего образования,PT,70.1
2018,Годовая,Национальный,SE_DEV_ONTRK,,,до 5 лет,,Первый этап среднего образования,PT,71.0
2014,Годовая,Национальный,SE_DEV_ONTRK,,,до 5 лет,,Второй этап среднего образования,PT,77.2
2018,Годовая,Национальный,SE_DEV_ONTRK,,,до 5 лет,,Второй этап среднего образования,PT,73.8
2014,Годовая,Национальный,SE_DEV_ONTRK,,,до 5 лет,,Послесреднее нетретичное образование,PT,80.8
2018,Годовая,Национальный,SE_DEV_ONTRK,,,до 5 лет,,Послесреднее нетретичное образование,PT,70.6
2014,Годовая,Национальный,SE_DEV_ONTRK,,,до 5 лет,,Короткий цикл третичного образования,PT,81.8
2018,Годовая,Национальный,SE_DEV_ONTRK,,,до 5 лет,,Короткий цикл третичного образования,PT,69.6
2014,Годовая,Национальный,SE_DEV_ONTRK,,,до 5 лет,Квинтиль 1 (беднейшие),,PT,76.5
2018,Годовая,Национальный,SE_DEV_ONTRK,,,до 5 лет,Квинтиль 1 (беднейшие),,PT,72.5
2014,Годовая,Национальный,SE_DEV_ONTRK,,,до 5 лет,Квинтиль 2,,PT,80.3
2018,Годовая,Национальный,SE_DEV_ONTRK,,,до 5 лет,Квинтиль 2,,PT,70.6
2014,Годовая,Национальный,SE_DEV_ONTRK,,,до 5 лет,Квинтиль 3,,PT,73.0
2018,Годовая,Национальный,SE_DEV_ONTRK,,,до 5 лет,Квинтиль 3,,PT,67.2
2014,Годовая,Национальный,SE_DEV_ONTRK,,,до 5 лет,Квинтиль 4,,PT,79.3
2018,Годовая,Национальный,SE_DEV_ONTRK,,,до 5 лет,Квинтиль 4,,PT,71.0
2014,Годовая,Национальный,SE_DEV_ONTRK,,,до 5 лет,Квинтиль 5 (богатейшие),,PT,84.3
2018,Годовая,Национальный,SE_DEV_ONTRK,,,до 5 лет,Квинтиль 5 (богатейшие),,PT,78.0
