Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Возраст,Тип местности,Units,Value
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,,от 1 до 6 лет,,PT,17.5
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,,от 1 до 6 лет,,PT,19.5
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,,от 1 до 6 лет,,PT,19.9
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,,от 1 до 6 лет,,PT,22.1
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,,от 1 до 6 лет,,PT,23.5
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,,от 1 до 6 лет,,PT,24.6
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,,от 1 до 6 лет,,PT,25.4
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,,от 1 до 6 лет,Городская,PT,31.6
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,,от 1 до 6 лет,Городская,PT,32.3
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,,от 1 до 6 лет,Городская,PT,31.1
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,,от 1 до 6 лет,Городская,PT,32.3
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,,от 1 до 6 лет,Городская,PT,34.2
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,,от 1 до 6 лет,Городская,PT,34.6
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,,от 1 до 6 лет,Городская,PT,34.5
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,,от 1 до 6 лет,Сельская,PT,10.8
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,,от 1 до 6 лет,Сельская,PT,13.2
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,,от 1 до 6 лет,Сельская,PT,14.2
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,,от 1 до 6 лет,Сельская,PT,16.6
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,,от 1 до 6 лет,Сельская,PT,17.9
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,,от 1 до 6 лет,Сельская,PT,19.3
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,,от 1 до 6 лет,Сельская,PT,20.6
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Баткенская область,от 1 до 6 лет,,PT,16.1
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Баткенская область,от 1 до 6 лет,,PT,19.6
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Баткенская область,от 1 до 6 лет,,PT,20.6
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Баткенская область,от 1 до 6 лет,,PT,23.9
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Баткенская область,от 1 до 6 лет,,PT,25.8
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Баткенская область,от 1 до 6 лет,,PT,26.3
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Баткенская область,от 1 до 6 лет,,PT,28.5
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Баткенская область,от 1 до 6 лет,Городская,PT,33.3
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Баткенская область,от 1 до 6 лет,Городская,PT,33.1
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Баткенская область,от 1 до 6 лет,Городская,PT,30.5
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Баткенская область,от 1 до 6 лет,Городская,PT,32.8
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Баткенская область,от 1 до 6 лет,Городская,PT,33.2
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Баткенская область,от 1 до 6 лет,Городская,PT,34.0
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Баткенская область,от 1 до 6 лет,Городская,PT,42.7
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Баткенская область,от 1 до 6 лет,Сельская,PT,10.2
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Баткенская область,от 1 до 6 лет,Сельская,PT,14.6
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Баткенская область,от 1 до 6 лет,Сельская,PT,16.7
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Баткенская область,от 1 до 6 лет,Сельская,PT,20.5
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Баткенская область,от 1 до 6 лет,Сельская,PT,23.0
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Баткенская область,от 1 до 6 лет,Сельская,PT,23.3
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Баткенская область,от 1 до 6 лет,Сельская,PT,23.8
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Джалал-Абадская область,от 1 до 6 лет,,PT,15.2
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Джалал-Абадская область,от 1 до 6 лет,,PT,15.5
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Джалал-Абадская область,от 1 до 6 лет,,PT,16.1
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Джалал-Абадская область,от 1 до 6 лет,,PT,18.7
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Джалал-Абадская область,от 1 до 6 лет,,PT,20.2
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Джалал-Абадская область,от 1 до 6 лет,,PT,21.8
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Джалал-Абадская область,от 1 до 6 лет,,PT,23.0
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Джалал-Абадская область,от 1 до 6 лет,Городская,PT,27.4
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Джалал-Абадская область,от 1 до 6 лет,Городская,PT,28.5
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Джалал-Абадская область,от 1 до 6 лет,Городская,PT,28.4
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Джалал-Абадская область,от 1 до 6 лет,Городская,PT,30.6
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Джалал-Абадская область,от 1 до 6 лет,Городская,PT,32.8
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Джалал-Абадская область,от 1 до 6 лет,Городская,PT,35.0
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Джалал-Абадская область,от 1 до 6 лет,Городская,PT,37.8
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Джалал-Абадская область,от 1 до 6 лет,Сельская,PT,10.3
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Джалал-Абадская область,от 1 до 6 лет,Сельская,PT,11.8
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Джалал-Абадская область,от 1 до 6 лет,Сельская,PT,12.6
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Джалал-Абадская область,от 1 до 6 лет,Сельская,PT,15.1
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Джалал-Абадская область,от 1 до 6 лет,Сельская,PT,16.5
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Джалал-Абадская область,от 1 до 6 лет,Сельская,PT,18.0
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Джалал-Абадская область,от 1 до 6 лет,Сельская,PT,18.9
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Иссык-Кульская область,от 1 до 6 лет,,PT,17.4
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Иссык-Кульская область,от 1 до 6 лет,,PT,18.8
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Иссык-Кульская область,от 1 до 6 лет,,PT,20.9
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Иссык-Кульская область,от 1 до 6 лет,,PT,24.1
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Иссык-Кульская область,от 1 до 6 лет,,PT,25.8
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Иссык-Кульская область,от 1 до 6 лет,,PT,27.2
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Иссык-Кульская область,от 1 до 6 лет,,PT,28.8
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Иссык-Кульская область,от 1 до 6 лет,Городская,PT,34.2
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Иссык-Кульская область,от 1 до 6 лет,Городская,PT,33.3
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Иссык-Кульская область,от 1 до 6 лет,Городская,PT,34.6
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Иссык-Кульская область,от 1 до 6 лет,Городская,PT,38.8
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Иссык-Кульская область,от 1 до 6 лет,Городская,PT,41.1
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Иссык-Кульская область,от 1 до 6 лет,Городская,PT,38.9
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Иссык-Кульская область,от 1 до 6 лет,Городская,PT,39.0
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Иссык-Кульская область,от 1 до 6 лет,Сельская,PT,9.4
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Иссык-Кульская область,от 1 до 6 лет,Сельская,PT,11.1
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Иссык-Кульская область,от 1 до 6 лет,Сельская,PT,12.8
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Иссык-Кульская область,от 1 до 6 лет,Сельская,PT,15.8
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Иссык-Кульская область,от 1 до 6 лет,Сельская,PT,17.7
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Иссык-Кульская область,от 1 до 6 лет,Сельская,PT,18.9
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Иссык-Кульская область,от 1 до 6 лет,Сельская,PT,22.9
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Нарынская область,от 1 до 6 лет,,PT,19.6
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Нарынская область,от 1 до 6 лет,,PT,25.7
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Нарынская область,от 1 до 6 лет,,PT,22.3
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Нарынская область,от 1 до 6 лет,,PT,26.6
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Нарынская область,от 1 до 6 лет,,PT,31.6
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Нарынская область,от 1 до 6 лет,,PT,34.2
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Нарынская область,от 1 до 6 лет,,PT,35.6
