Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Возраст,Units,Value
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SE_PRE_PARTN,,до 6 лет,PT,8.1
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SE_PRE_PARTN,,до 6 лет,PT,10.0
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SE_PRE_PARTN,,до 6 лет,PT,24.6
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SE_PRE_PARTN,,до 6 лет,PT,11.2
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SE_PRE_PARTN,,до 6 лет,PT,12.2
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SE_PRE_PARTN,,до 6 лет,PT,51.1
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SE_PRE_PARTN,,до 6 лет,PT,55.0
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SE_PRE_PARTN,,до 6 лет,PT,74.4
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SE_PRE_PARTN,,до 6 лет,PT,75.9
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SE_PRE_PARTN,,до 6 лет,PT,84.9
