Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Уровень образования,Units,Value
2010,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,,Среднее и послесреднее нетретичное образование (среднее),Число,1432
2013,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,,Среднее и послесреднее нетретичное образование (среднее),Число,1551
2014,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,,Среднее и послесреднее нетретичное образование (среднее),Число,1272
2015,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,,Среднее и послесреднее нетретичное образование (среднее),Число,1236
2016,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,,Среднее и послесреднее нетретичное образование (среднее),Число,891
2017,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,,Среднее и послесреднее нетретичное образование (среднее),Число,766
2010,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,,Короткий цикл третичного образования,Число,2544
2013,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,,Короткий цикл третичного образования,Число,2663
2014,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,,Короткий цикл третичного образования,Число,5189
2015,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,,Короткий цикл третичного образования,Число,4961
2016,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,,Короткий цикл третичного образования,Число,4754
2017,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,,Короткий цикл третичного образования,Число,5106
2010,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Женщины,Короткий цикл третичного образования,Число,1244
2013,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Женщины,Короткий цикл третичного образования,Число,1347
2014,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Женщины,Короткий цикл третичного образования,Число,1873
2015,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Женщины,Короткий цикл третичного образования,Число,1785
2016,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Женщины,Короткий цикл третичного образования,Число,3050
2017,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Женщины,Короткий цикл третичного образования,Число,1380
2010,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Мужчины,Короткий цикл третичного образования,Число,1300
2013,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Мужчины,Короткий цикл третичного образования,Число,1316
2014,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Мужчины,Короткий цикл третичного образования,Число,3316
2015,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Мужчины,Короткий цикл третичного образования,Число,3176
2016,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Мужчины,Короткий цикл третичного образования,Число,1704
2017,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Мужчины,Короткий цикл третичного образования,Число,3722
2010,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,,Высшее образование (бакалавриат и магистратура или эквиваленты),Число,12291
2013,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,,Высшее образование (бакалавриат и магистратура или эквиваленты),Число,8890
2014,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,,Высшее образование (бакалавриат и магистратура или эквиваленты),Число,9214
2015,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,,Высшее образование (бакалавриат и магистратура или эквиваленты),Число,8551
