Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Составная разбивка,Units,Value
2018,Годовая,Национальный,"Доля молодежи/ взрослых, обладающей/ обладающих навыками в области информационно-коммуникационных технологий",Киргизия,Женщины,от 15 до 24 лет ,Навык: Навык ИКТ: Копирование или перемещение файла или папки,Процент,23.8
2018,Годовая,Национальный,"Доля молодежи/ взрослых, обладающей/ обладающих навыками в области информационно-коммуникационных технологий",Киргизия,Женщины,от 15 до 24 лет ,Навык: Навык ИКТ: Использование инструментов копирования и вставки для дублирования или перемещения информации в документе,Процент,23.4
2018,Годовая,Национальный,"Доля молодежи/ взрослых, обладающей/ обладающих навыками в области информационно-коммуникационных технологий",Киргизия,Женщины,от 15 до 24 лет ,Навык: Навык ИКТ: Отправка электронной почты с вложенными файлами,Процент,21.2
2018,Годовая,Национальный,"Доля молодежи/ взрослых, обладающей/ обладающих навыками в области информационно-коммуникационных технологий",Киргизия,Женщины,от 15 до 24 лет ,Навык: Навык ИКТ: Использование базовых арифметических формул в электронной таблице,Процент,13.6
2018,Годовая,Национальный,"Доля молодежи/ взрослых, обладающей/ обладающих навыками в области информационно-коммуникационных технологий",Киргизия,Женщины,от 15 до 24 лет ,Навык: Навык ИКТ: Подключение и установка новых устройств,Процент,7.3
2018,Годовая,Национальный,"Доля молодежи/ взрослых, обладающей/ обладающих навыками в области информационно-коммуникационных технологий",Киргизия,Женщины,от 15 до 24 лет ,"Навык: Навык ИКТ: Поиск, загрузка, установка и настройка программного обеспечения",Процент,7.5
2018,Годовая,Национальный,"Доля молодежи/ взрослых, обладающей/ обладающих навыками в области информационно-коммуникационных технологий",Киргизия,Женщины,от 15 до 24 лет ,Навык: Навык ИКТ: Создание электронных презентаций с помощью программного обеспечения для презентаций,Процент,13.2
2018,Годовая,Национальный,"Доля молодежи/ взрослых, обладающей/ обладающих навыками в области информационно-коммуникационных технологий",Киргизия,Женщины,от 15 до 24 лет ,Навык: Навык ИКТ: Передача файлов между компьютером и другими устройствами,Процент,12.1
2018,Годовая,Национальный,"Доля молодежи/ взрослых, обладающей/ обладающих навыками в области информационно-коммуникационных технологий",Киргизия,Женщины,от 15 до 24 лет ,Навык: Навык ИКТ: Написание компьютерной программы с использованием специализированного языка программирования,Процент,3.2
2018,Годовая,Национальный,"Доля молодежи/ взрослых, обладающей/ обладающих навыками в области информационно-коммуникационных технологий",Киргизия,Женщины,от 15 до 49 лет ,Навык: Навык ИКТ: Копирование или перемещение файла или папки,Процент,17.1
2018,Годовая,Национальный,"Доля молодежи/ взрослых, обладающей/ обладающих навыками в области информационно-коммуникационных технологий",Киргизия,Женщины,от 15 до 49 лет ,Навык: Навык ИКТ: Использование инструментов копирования и вставки для дублирования или перемещения информации в документе,Процент,16.9
2018,Годовая,Национальный,"Доля молодежи/ взрослых, обладающей/ обладающих навыками в области информационно-коммуникационных технологий",Киргизия,Женщины,от 15 до 49 лет ,Навык: Навык ИКТ: Отправка электронной почты с вложенными файлами,Процент,15.4
2018,Годовая,Национальный,"Доля молодежи/ взрослых, обладающей/ обладающих навыками в области информационно-коммуникационных технологий",Киргизия,Женщины,от 15 до 49 лет ,Навык: Навык ИКТ: Использование базовых арифметических формул в электронной таблице,Процент,9.7
2018,Годовая,Национальный,"Доля молодежи/ взрослых, обладающей/ обладающих навыками в области информационно-коммуникационных технологий",Киргизия,Женщины,от 15 до 49 лет ,Навык: Навык ИКТ: Подключение и установка новых устройств,Процент,6.2
2018,Годовая,Национальный,"Доля молодежи/ взрослых, обладающей/ обладающих навыками в области информационно-коммуникационных технологий",Киргизия,Женщины,от 15 до 49 лет ,"Навык: Навык ИКТ: Поиск, загрузка, установка и настройка программного обеспечения",Процент,5.8
2018,Годовая,Национальный,"Доля молодежи/ взрослых, обладающей/ обладающих навыками в области информационно-коммуникационных технологий",Киргизия,Женщины,от 15 до 49 лет ,Навык: Навык ИКТ: Создание электронных презентаций с помощью программного обеспечения для презентаций,Процент,8.9
2018,Годовая,Национальный,"Доля молодежи/ взрослых, обладающей/ обладающих навыками в области информационно-коммуникационных технологий",Киргизия,Женщины,от 15 до 49 лет ,Навык: Навык ИКТ: Передача файлов между компьютером и другими устройствами,Процент,8.4
2018,Годовая,Национальный,"Доля молодежи/ взрослых, обладающей/ обладающих навыками в области информационно-коммуникационных технологий",Киргизия,Женщины,от 15 до 49 лет ,Навык: Навык ИКТ: Написание компьютерной программы с использованием специализированного языка программирования,Процент,2.0
