Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),Уровень образования,Unit of measure,Value
2010,Annual,National,Share of graduated teachers with pedagogical education,Kyrgyzstan,Early childhood education,Процент,87.9
2013,Annual,National,Share of graduated teachers with pedagogical education,Kyrgyzstan,Early childhood education,Процент,88.8
2014,Annual,National,Share of graduated teachers with pedagogical education,Kyrgyzstan,Early childhood education,Процент,89.8
2015,Annual,National,Share of graduated teachers with pedagogical education,Kyrgyzstan,Early childhood education,Процент,94.7
2016,Annual,National,Share of graduated teachers with pedagogical education,Kyrgyzstan,Early childhood education,Процент,91.6
2017,Annual,National,Share of graduated teachers with pedagogical education,Kyrgyzstan,Early childhood education,Процент,93.4
2018,Annual,National,Share of graduated teachers with pedagogical education,Kyrgyzstan,Early childhood education,Процент,93.5
2010,Annual,National,Share of graduated teachers with pedagogical education,Kyrgyzstan,Начальное образование (1-4 классы),Процент,93.6
2013,Annual,National,Share of graduated teachers with pedagogical education,Kyrgyzstan,Начальное образование (1-4 классы),Процент,94.3
2014,Annual,National,Share of graduated teachers with pedagogical education,Kyrgyzstan,Начальное образование (1-4 классы),Процент,94.4
2015,Annual,National,Share of graduated teachers with pedagogical education,Kyrgyzstan,Начальное образование (1-4 классы),Процент,95.0
2016,Annual,National,Share of graduated teachers with pedagogical education,Kyrgyzstan,Начальное образование (1-4 классы),Процент,95.4
2017,Annual,National,Share of graduated teachers with pedagogical education,Kyrgyzstan,Начальное образование (1-4 классы),Процент,96.0
2018,Annual,National,Share of graduated teachers with pedagogical education,Kyrgyzstan,Начальное образование (1-4 классы),Процент,96.4
2010,Annual,National,Share of graduated teachers with pedagogical education,Kyrgyzstan,Secondary education (lower and upper secondary education),Процент,92.9
2013,Annual,National,Share of graduated teachers with pedagogical education,Kyrgyzstan,Secondary education (lower and upper secondary education),Процент,94.8
2014,Annual,National,Share of graduated teachers with pedagogical education,Kyrgyzstan,Secondary education (lower and upper secondary education),Процент,95.3
2015,Annual,National,Share of graduated teachers with pedagogical education,Kyrgyzstan,Secondary education (lower and upper secondary education),Процент,95.9
2016,Annual,National,Share of graduated teachers with pedagogical education,Kyrgyzstan,Secondary education (lower and upper secondary education),Процент,96.9
2017,Annual,National,Share of graduated teachers with pedagogical education,Kyrgyzstan,Secondary education (lower and upper secondary education),Процент,97.9
2018,Annual,National,Share of graduated teachers with pedagogical education,Kyrgyzstan,Secondary education (lower and upper secondary education),Процент,98.0
