Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),пол,Unit of measure,Value
2010,Annual,National,Number of women who contacted forensic medical units due to domestic violence,Kyrgyzstan,женский,Number,1308
2011,Annual,National,Number of women who contacted forensic medical units due to domestic violence,Kyrgyzstan,женский,Number,1453
2012,Annual,National,Number of women who contacted forensic medical units due to domestic violence,Kyrgyzstan,женский,Number,1900
2013,Annual,National,Number of women who contacted forensic medical units due to domestic violence,Kyrgyzstan,женский,Number,1589
2014,Annual,National,Number of women who contacted forensic medical units due to domestic violence,Kyrgyzstan,женский,Number,1988
2015,Annual,National,Number of women who contacted forensic medical units due to domestic violence,Kyrgyzstan,женский,Number,936
2016,Annual,National,Number of women who contacted forensic medical units due to domestic violence,Kyrgyzstan,женский,Number,1172
2017,Annual,National,Number of women who contacted forensic medical units due to domestic violence,Kyrgyzstan,женский,Number,1382
2018,Annual,National,Number of women who contacted forensic medical units due to domestic violence,Kyrgyzstan,женский,Number,1305
2010,Annual,National,Number of women who contacted paramedic-midwifery units due to domestic violence,Kyrgyzstan,женский,Number,68
2011,Annual,National,Number of women who contacted paramedic-midwifery units due to domestic violence,Kyrgyzstan,женский,Number,155
2012,Annual,National,Number of women who contacted paramedic-midwifery units due to domestic violence,Kyrgyzstan,женский,Number,16
2013,Annual,National,Number of women who contacted paramedic-midwifery units due to domestic violence,Kyrgyzstan,женский,Number,48
2014,Annual,National,Number of women who contacted paramedic-midwifery units due to domestic violence,Kyrgyzstan,женский,Number,35
2015,Annual,National,Number of women who contacted paramedic-midwifery units due to domestic violence,Kyrgyzstan,женский,Number,12
2016,Annual,National,Number of women who contacted paramedic-midwifery units due to domestic violence,Kyrgyzstan,женский,Number,2
2017,Annual,National,Number of women who contacted paramedic-midwifery units due to domestic violence,Kyrgyzstan,женский,Number,1
2010,Annual,National,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",Kyrgyzstan,женский,Number,401
2011,Annual,National,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",Kyrgyzstan,женский,Number,581
2012,Annual,National,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",Kyrgyzstan,женский,Number,509
2013,Annual,National,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",Kyrgyzstan,женский,Number,508
2014,Annual,National,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",Kyrgyzstan,женский,Number,495
2015,Annual,National,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",Kyrgyzstan,женский,Number,666
2016,Annual,National,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",Kyrgyzstan,женский,Number,657
2017,Annual,National,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",Kyrgyzstan,женский,Number,629
2018,Annual,National,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",Kyrgyzstan,женский,Number,555
2010,Annual,National,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",Kyrgyzstan,женский,Number,414
2011,Annual,National,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",Kyrgyzstan,женский,Number,320
2012,Annual,National,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",Kyrgyzstan,женский,Number,498
2013,Annual,National,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",Kyrgyzstan,женский,Number,822
2014,Annual,National,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",Kyrgyzstan,женский,Number,570
2015,Annual,National,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",Kyrgyzstan,женский,Number,485
2016,Annual,National,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",Kyrgyzstan,женский,Number,372
2017,Annual,National,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",Kyrgyzstan,женский,Number,176
2018,Annual,National,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",Kyrgyzstan,женский,Number,47
2010,Annual,National,Number of women treated for injuries resulting from domestic violence,Kyrgyzstan,женский,Number,445
2011,Annual,National,Number of women treated for injuries resulting from domestic violence,Kyrgyzstan,женский,Number,491
2012,Annual,National,Number of women treated for injuries resulting from domestic violence,Kyrgyzstan,женский,Number,504
2013,Annual,National,Number of women treated for injuries resulting from domestic violence,Kyrgyzstan,женский,Number,600
2014,Annual,National,Number of women treated for injuries resulting from domestic violence,Kyrgyzstan,женский,Number,731
2015,Annual,National,Number of women treated for injuries resulting from domestic violence,Kyrgyzstan,женский,Number,1896
2016,Annual,National,Number of women treated for injuries resulting from domestic violence,Kyrgyzstan,женский,Number,1404
2017,Annual,National,Number of women treated for injuries resulting from domestic violence,Kyrgyzstan,женский,Number,1084
2018,Annual,National,Number of women treated for injuries resulting from domestic violence,Kyrgyzstan,женский,Number,970
