Year,Статус наблюдения,Множитель,Характер данных,Информация об источнике,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Уровень дохода или квантиль благосостояния,Уровень образования,Статус инвалидности,Units,Value
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF15,,Женщины,от 20 до 24 лет,,,,PT,0.3
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF15,Баткенская область,Женщины,от 20 до 24 лет,,,,PT,0.0
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF15,Джалал-Абадская область,Женщины,от 20 до 24 лет,,,,PT,0.0
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF15,Иссык-Кульская область,Женщины,от 20 до 24 лет,,,,PT,0.0
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF15,Нарынская область,Женщины,от 20 до 24 лет,,,,PT,0.0
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF15,Ошская область,Женщины,от 20 до 24 лет,,,,PT,0.0
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF15,Таласская область,Женщины,от 20 до 24 лет,,,,PT,2.8
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF15,Чуйская область,Женщины,от 20 до 24 лет,,,,PT,0.0
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF15,г. Бишкек,Женщины,от 20 до 24 лет,,,,PT,1.0
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF15,г. Ош,Женщины,от 20 до 24 лет,,,,PT,0.0
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF15,,Женщины,от 20 до 24 лет,,Первый этап среднего образования,,PT,0.6
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF15,,Женщины,от 20 до 24 лет,,Второй этап среднего образования,,PT,0.8
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF15,,Женщины,от 20 до 24 лет,,Послесреднее нетретичное образование,,PT,0.0
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF15,,Женщины,от 20 до 24 лет,,Короткий цикл третичного образования,,PT,0.0
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF15,,Женщины,от 20 до 24 лет,,,Лица без инвалидности,PT,0.3
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF15,,Женщины,от 20 до 24 лет,Квинтиль 1 (беднейшие),,,PT,0.0
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF15,,Женщины,от 20 до 24 лет,Квинтиль 2,,,PT,0.4
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF15,,Женщины,от 20 до 24 лет,Квинтиль 3,,,PT,0.0
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF15,,Женщины,от 20 до 24 лет,Квинтиль 4,,,PT,0.0
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF15,,Женщины,от 20 до 24 лет,Квинтиль 5 (богатейшие),,,PT,1.1
