Year,Статус наблюдения,Множитель,Характер данных,Сноски на уровне наблюдения,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Units,Value
2007,Нормальное значение,Единицы,Страновые данные,as a percentage of the total number of managers,Годовая,Национальный,IC_GEN_MGTL,,Женщины,PT,31.5
2008,Нормальное значение,Единицы,Страновые данные,as a percentage of the total number of managers,Годовая,Национальный,IC_GEN_MGTL,,Женщины,PT,31.9
2009,Нормальное значение,Единицы,Страновые данные,as a percentage of the total number of managers,Годовая,Национальный,IC_GEN_MGTL,,Женщины,PT,30.6
2010,Нормальное значение,Единицы,Страновые данные,as a percentage of the total number of managers,Годовая,Национальный,IC_GEN_MGTL,,Женщины,PT,32.3
2011,Нормальное значение,Единицы,Страновые данные,as a percentage of the total number of managers,Годовая,Национальный,IC_GEN_MGTL,,Женщины,PT,28.9
2012,Нормальное значение,Единицы,Страновые данные,as a percentage of the total number of managers,Годовая,Национальный,IC_GEN_MGTL,,Женщины,PT,32.3
2013,Нормальное значение,Единицы,Страновые данные,as a percentage of the total number of managers,Годовая,Национальный,IC_GEN_MGTL,,Женщины,PT,27.5
2014,Нормальное значение,Единицы,Страновые данные,as a percentage of the total number of managers,Годовая,Национальный,IC_GEN_MGTL,,Женщины,PT,33.4
2015,Нормальное значение,Единицы,Страновые данные,as a percentage of the total number of managers,Годовая,Национальный,IC_GEN_MGTL,,Женщины,PT,36.1
2016,Нормальное значение,Единицы,Страновые данные,as a percentage of the total number of managers,Годовая,Национальный,IC_GEN_MGTL,,Женщины,PT,34.9
2017,Нормальное значение,Единицы,Страновые данные,as a percentage of the total number of managers,Годовая,Национальный,IC_GEN_MGTL,,Женщины,PT,36.2
2018,Нормальное значение,Единицы,Страновые данные,as a percentage of the total number of managers,Годовая,Национальный,IC_GEN_MGTL,,Женщины,PT,37.9
